locus_tag,product,protein_id
BHE81_RS27925,TonB-dependent copper receptor,WP_004182117.1
BHE81_RS27930,DUF2534 family protein,WP_023313931.1
BHE81_RS27935,GNAT family N-acetyltransferase,
BHE81_RS27945,conjugal transfer protein TraN,
BHE81_RS27950,type-F conjugative transfer system pilin assembly protein TrbC,WP_004193871.1
BHE81_RS28965,hypothetical protein,
BHE81_RS27955,hypothetical protein,WP_020323516.1
BHE81_RS27960,hypothetical protein,WP_172622159.1
BHE81_RS25420,type IV secretion system protein TraC,WP_149888845.1
BHE81_RS25425,conjugal transfer protein TraG,
BHE81_RS25430,conjugal transfer protein TraG,
BHE81_RS25435,hypothetical protein,WP_072040864.1
BHE81_RS25440,conjugal transfer complement resistance protein TraT,WP_149888846.1
BHE81_RS25445,DUF932 domain-containing protein,WP_004182076.1
BHE81_RS25450,DUF5983 family protein,WP_011977736.1
BHE81_RS25455,transglycosylase SLT domain-containing protein,WP_004178063.1
BHE81_RS25460,conjugal transfer relaxosome DNA-binding protein TraM,WP_072145360.1
BHE81_RS25465,conjugal transfer protein TrbJ,WP_016831034.1
BHE81_RS25470,TraY domain-containing protein,WP_004144426.1
BHE81_RS25475,type IV conjugative transfer system pilin TraA,WP_004194426.1
BHE81_RS25480,type IV conjugative transfer system protein TraL,WP_004144424.1
BHE81_RS25485,type IV conjugative transfer system protein TraE,WP_004144423.1
BHE81_RS25490,type-F conjugative transfer system secretin TraK,WP_013214019.1
BHE81_RS25495,F-type conjugal transfer pilus assembly protein TraB,WP_149888847.1
BHE81_RS25500,conjugal transfer pilus-stabilizing protein TraP,WP_040172382.1
BHE81_RS25505,type IV conjugative transfer system lipoprotein TraV,WP_023316399.1
BHE81_RS25510,conjugal transfer protein TraN,WP_149888848.1
BHE81_RS25515,IS1 family transposase,
BHE81_RS25520,DEAD/DEAH box helicase,WP_149888849.1
BHE81_RS25525,FUSC family protein,WP_004118212.1
BHE81_RS28980,DUF2778 domain-containing protein,WP_232685507.1
BHE81_RS25535,conjugal transfer protein TraN,
BHE81_RS25540,type-F conjugative transfer system pilin assembly protein TrbC,WP_004193871.1
BHE81_RS25545,conjugal transfer pilus assembly protein TraU,WP_004153778.1
BHE81_RS25550,methyltransferase,WP_004182054.1
BHE81_RS25555,DUF3560 domain-containing protein,WP_110246720.1
BHE81_RS25560,hypothetical protein,WP_009310031.1
BHE81_RS25565,hypothetical protein,WP_001568050.1
BHE81_RS25570,conjugal transfer protein TraH,WP_172622151.1
BHE81_RS25575,F-type conjugal transfer protein TrbF,WP_040172400.1
BHE81_RS25580,type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB,WP_117035519.1
BHE81_RS25725,conjugal transfer protein TraG,
BHE81_RS25730,conjugal transfer protein TraS,WP_032409657.1
BHE81_RS25740,complement resistance protein TraT,
BHE81_RS25745,type I toxin-antitoxin system Hok family toxin,WP_159376494.1
BHE81_RS28415,hypothetical protein,WP_172622152.1
BHE81_RS28890,hypothetical protein,
BHE81_RS25770,hypothetical protein,WP_172622153.1
BHE81_RS25775,type II toxin-antitoxin system Phd/YefM family antitoxin,WP_004187025.1
BHE81_RS25780,type II toxin-antitoxin system RelE family toxin,WP_004187019.1
BHE81_RS25785,hypothetical protein,WP_122985329.1
BHE81_RS25790,IS3-like element ISEc52 family transposase,WP_149888851.1
BHE81_RS25790,IS3-like element ISEc52 family transposase,WP_149888851.1
BHE81_RS25795,hypothetical protein,WP_050489137.1
BHE81_RS25800,Rop family plasmid primer RNA-binding protein,WP_023302508.1
BHE81_RS29055,replication initiation protein,WP_072042462.1
BHE81_RS25815,hypothetical protein,WP_072042463.1
BHE81_RS25820,helix-turn-helix transcriptional regulator,WP_009310048.1
BHE81_RS25825,Rop family plasmid primer RNA-binding protein,WP_032442716.1
BHE81_RS25830,conjugal transfer protein TraH,WP_172622154.1
BHE81_RS25835,conjugal transfer protein TraN,
BHE81_RS25840,conjugal transfer protein TrbE,WP_023287133.1
BHE81_RS25845,hypothetical protein,WP_013214029.1
BHE81_RS25850,hypothetical protein,WP_004152676.1
BHE81_RS25855,hypothetical protein,WP_004195468.1
BHE81_RS25860,hypothetical protein,WP_013214022.1
BHE81_RS25865,hypothetical protein,WP_049247629.1
BHE81_RS25870,conjugal transfer protein TraG,
BHE81_RS25925,TraC family protein,WP_020315093.1
BHE81_RS25930,hypothetical protein,WP_020315744.1
BHE81_RS25935,hypothetical protein,WP_023316400.1
BHE81_RS25940,hypothetical protein,WP_023316401.1
BHE81_RS25945,hypothetical protein,WP_023316402.1
BHE81_RS25950,hypothetical protein,WP_023316403.1
BHE81_RS25955,conjugal transfer protein TraH,
BHE81_RS25960,conjugal transfer protein TraN,
BHE81_RS25965,hypothetical protein,WP_022644736.1
BHE81_RS25970,conjugal transfer protein TrbE,WP_012540032.1
BHE81_RS25975,hypothetical protein,WP_020323521.1
BHE81_RS25980,Rop family plasmid primer RNA-binding protein,WP_000166328.1
BHE81_RS28420,hypothetical protein,WP_165383661.1
BHE81_RS25990,hypothetical protein,WP_023325449.1
BHE81_RS25995,helix-turn-helix domain-containing protein,WP_004216558.1
BHE81_RS26000,Rop family plasmid primer RNA-binding protein,WP_114147923.1
BHE81_RS26005,antitoxin VbhA family protein,WP_059363303.1
BHE81_RS26025,type II toxin-antitoxin system RelB/DinJ family antitoxin,WP_059363302.1
BHE81_RS26030,hypothetical protein,WP_059363301.1
BHE81_RS26035,type II toxin-antitoxin system RelE/ParE family toxin,WP_077951050.1
BHE81_RS26050,single-stranded DNA-binding protein,WP_004182056.1
BHE81_RS26055,DUF905 domain-containing protein,WP_004182058.1
BHE81_RS26060,ParB/RepB/Spo0J family partition protein,WP_020277924.1
BHE81_RS26065,conjugation system SOS inhibitor PsiB,WP_004194235.1
BHE81_RS26070,plasmid SOS inhibition protein A,WP_015065618.1
BHE81_RS26075,hypothetical protein,WP_023329033.1
BHE81_RS26080,hypothetical protein,WP_004182064.1
BHE81_RS26090,IS3-like element ISKpn38 family transposase,WP_149888854.1
BHE81_RS26095,ISNCY family transposase,WP_000589001.1
BHE81_RS26100,IS110 family transposase,WP_029497477.1
BHE81_RS26105,cytochrome b/b6 domain-containing protein,WP_001515348.1
BHE81_RS26110,cation diffusion facilitator family transporter,WP_020277922.1
BHE81_RS28910,hypothetical protein,
BHE81_RS26120,type II toxin-antitoxin system antitoxin RelB,WP_000534858.1
BHE81_RS26125,type II toxin-antitoxin system mRNA interferase RelE,WP_000323025.1
BHE81_RS26130,IS481 family transposase,
BHE81_RS28985,type I toxin-antitoxin system Hok family toxin,WP_004118124.1
BHE81_RS26140,hypothetical protein,WP_149888855.1
BHE81_RS26145,hypothetical protein,WP_085843694.1
BHE81_RS26150,hypothetical protein,WP_015065519.1
BHE81_RS26155,IS66-like element accessory protein TnpA,WP_004114613.1
BHE81_RS26160,IS66 family insertion sequence element accessory protein TnpB,WP_004114612.1
BHE81_RS26165,IS66 family transposase,WP_016808813.1
BHE81_RS26170,IS66 family transposase,
BHE81_RS26175,ABC transporter ATP-binding protein,WP_004118832.1
BHE81_RS26180,acetamidase/formamidase family protein,WP_004118225.1
BHE81_RS26185,ABC transporter substrate-binding protein,WP_004152278.1
BHE81_RS26190,ABC transporter permease,WP_004118227.1
BHE81_RS26195,ABC transporter permease,WP_004118228.1
BHE81_RS26200,ANTAR domain-containing response regulator,WP_032415034.1
BHE81_RS26205,transporter substrate-binding protein,WP_004118840.1
BHE81_RS28925,integrase,
BHE81_RS26215,Mu transposase domain-containing protein,
BHE81_RS26220,RNA polymerase sigma factor FecI,WP_004197062.1
BHE81_RS26225,ferric citrate uptake sigma factor regulator FecR,WP_004197067.1
BHE81_RS26230,TonB-dependent Fe(3+) dicitrate receptor FecA,WP_032415036.1
BHE81_RS26235,Fe(3+) dicitrate ABC transporter substrate-binding protein FecB,WP_032415038.1
BHE81_RS26240,iron-dicitrate ABC transporter permease FecC,WP_004118243.1
BHE81_RS26245,Fe(3+) dicitrate ABC transporter permease subunit FecD,WP_004118246.1
BHE81_RS26250,Fe(3+) dicitrate ABC transporter ATP-binding protein FecE,WP_004152282.1
BHE81_RS26255,IS66 family insertion sequence element accessory protein TnpB,WP_032415058.1
BHE81_RS26260,IS66 family transposase,
BHE81_RS29065,EAL domain-containing protein,WP_306425632.1
BHE81_RS26270,IS110-like element IS4321 family transposase,WP_000427623.1
BHE81_RS26275,zinc-binding alcohol dehydrogenase family protein,WP_004152284.1
BHE81_RS29070,hypothetical protein,WP_004152285.1
BHE81_RS26285,DNA-binding transcriptional repressor LacI,WP_016831235.1
BHE81_RS26290,beta-galactosidase,WP_004182121.1
BHE81_RS26295,lactose permease,WP_004182120.1
BHE81_RS26300,maltose acetyltransferase domain-containing protein,
BHE81_RS26305,type IV secretion system protein TraC,WP_149888856.1
BHE81_RS26310,helix-turn-helix domain-containing protein,WP_004182074.1
BHE81_RS26315,helix-turn-helix domain-containing protein,WP_004152721.1
BHE81_RS26320,type II toxin-antitoxin system RelE/ParE family toxin,WP_004152720.1
BHE81_RS26325,hypothetical protein,WP_014343499.1
BHE81_RS26330,hypothetical protein,WP_019706020.1
BHE81_RS26335,hypothetical protein,WP_004152717.1
BHE81_RS26520,hypothetical protein,WP_110246719.1
BHE81_RS26525,DNA polymerase III subunit theta,WP_004118476.1
BHE81_RS26530,hypothetical protein,WP_001568047.1
BHE81_RS26535,antirestriction protein ArdA,WP_001568046.1
BHE81_RS28500,antirestriction protein,WP_004152356.1
BHE81_RS26545,hypothetical protein,WP_001568044.1
BHE81_RS26550,DUF1380 family protein,WP_041937750.1
BHE81_RS26555,hypothetical protein,WP_001568042.1
BHE81_RS26560,DNA methylase,WP_011977792.1
BHE81_RS26565,hypothetical protein,
BHE81_RS26570,hypothetical protein,WP_001568040.1
BHE81_RS26575,plasmid partitioning/stability family protein,WP_032435767.1
BHE81_RS26580,plasmid segregation protein ParM domain-containing protein,WP_011977821.1
BHE81_RS26585,translesion error-prone DNA polymerase V autoproteolytic subunit,WP_001568036.1
BHE81_RS26590,Y-family DNA polymerase,WP_149888858.1
BHE81_RS26595,ParB family protein,WP_011977819.1
BHE81_RS26600,AAA family ATPase,WP_011977818.1
BHE81_RS26610,replication initiation protein,WP_004118283.1
BHE81_RS28430,hypothetical protein,WP_014343462.1
BHE81_RS26615,hypothetical protein,WP_013214010.1
BHE81_RS26620,site-specific integrase,WP_013214009.1
BHE81_RS26625,hypothetical protein,WP_011977814.1
BHE81_RS26630,hypothetical protein,WP_011977813.1
BHE81_RS26635,hypothetical protein,WP_011977812.1
BHE81_RS26640,hypothetical protein,WP_011977811.1
BHE81_RS26645,hypothetical protein,WP_011977810.1
BHE81_RS26650,hypothetical protein,
BHE81_RS26655,transcriptional repressor PifC,WP_041937753.1
BHE81_RS26660,KAP family P-loop NTPase fold protein,WP_011977808.1
BHE81_RS26665,hypothetical protein,WP_048295721.1
BHE81_RS26670,hypothetical protein,WP_011977806.1
BHE81_RS28440,hypothetical protein,WP_011977805.1
BHE81_RS26680,hypothetical protein,WP_041937752.1
BHE81_RS26685,hypothetical protein,WP_011977803.1
BHE81_RS26690,Abi family protein,WP_048295723.1
BHE81_RS26695,hypothetical protein,WP_048295724.1
BHE81_RS29080,IS3 family transposase,
BHE81_RS26700,hypothetical protein,WP_048295725.1
BHE81_RS26705,hypothetical protein,WP_048295726.1
BHE81_RS26710,tetratricopeptide repeat protein,WP_048295727.1
BHE81_RS26715,type II toxin-antitoxin system VapB family antitoxin,WP_001261276.1
BHE81_RS26720,type II toxin-antitoxin system VapC family toxin,WP_048295728.1
BHE81_RS26725,AAA family ATPase,WP_048295729.1
BHE81_RS28990,hypothetical protein,WP_256046161.1
BHE81_RS26735,hypothetical protein,WP_167878626.1
BHE81_RS26745,thioredoxin fold domain-containing protein,WP_001567366.1
BHE81_RS26750,cell envelope integrity protein TolA,WP_001567367.1
BHE81_RS26755,ISNCY-like element ISKpn21 family transposase,WP_001567368.1
BHE81_RS26760,DUF6904 family protein,WP_149888832.1
BHE81_RS26765,helix-turn-helix domain-containing protein,
BHE81_RS26770,Tn3 family transposase,
BHE81_RS26775,IS66 family transposase,WP_016808813.1
BHE81_RS26780,IS66 family insertion sequence element accessory protein TnpB,WP_004114612.1
BHE81_RS26785,IS66-like element accessory protein TnpA,WP_004114613.1
BHE81_RS26790,Tn3-like element Tn3 family transposase,
BHE81_RS26795,recombinase family protein,WP_001235713.1
BHE81_RS26800,broad-spectrum class A beta-lactamase TEM-1,WP_000027057.1
BHE81_RS26805,alcohol dehydrogenase catalytic domain-containing protein,
BHE81_RS26810,tetracycline efflux MFS transporter Tet(D),WP_001039466.1
BHE81_RS26815,tetracycline resistance transcriptional repressor TetR(D),WP_000113282.1
BHE81_RS26820,IS6-like element IS26 family transposase,WP_001067855.1
BHE81_RS26825,alcohol dehydrogenase catalytic domain-containing protein,
BHE81_RS26830,metal/formaldehyde-sensitive transcriptional repressor,WP_002437846.1
BHE81_RS26835,hypothetical protein,WP_002210543.1
BHE81_RS26840,GNAT family N-acetyltransferase,WP_032738601.1
BHE81_RS26845,type A-1 chloramphenicol O-acetyltransferase,WP_011152976.1
BHE81_RS26850,IS6-like element IS26 family transposase,WP_001067855.1
BHE81_RS28445,hypothetical protein,WP_000075580.1
BHE81_RS26855,hypothetical protein,WP_001145103.1
BHE81_RS28450,ISNCY family transposase,
BHE81_RS26860,DUF2913 family protein,WP_000176305.1
BHE81_RS26865,hypothetical protein,WP_001568067.1
BHE81_RS26870,C2H2-type zinc finger protein,WP_004201125.1
BHE81_RS26875,RepA family replication protein,WP_158656803.1
BHE81_RS26880,hypothetical protein,WP_103468676.1
BHE81_RS26885,IS66 family transposase,WP_044596437.1
BHE81_RS26890,IS66 family insertion sequence element accessory protein TnpB,WP_021567584.1
BHE81_RS26895,IS66-like element accessory protein TnpA,WP_048242260.1
BHE81_RS26900,phospholipase D family protein,WP_227678548.1
BHE81_RS26905,F-type conjugative transfer protein TrbC,WP_064357960.1
BHE81_RS26910,thioredoxin fold domain-containing protein,WP_172622156.1
BHE81_RS29190,DUF6504 family protein,WP_227538285.1
BHE81_RS26915,plasmid IncI1-type surface exclusion protein ExcA,WP_087843235.1
BHE81_RS26920,DotA/TraY family protein,WP_103468673.1
BHE81_RS26925,conjugal transfer protein TraX,WP_103468672.1
BHE81_RS26930,conjugal transfer protein TraW,WP_103468671.1
BHE81_RS26935,conjugal transfer protein,WP_103468670.1
BHE81_RS26940,conjugal transfer protein TraT,WP_149888859.1
BHE81_RS26945,DUF6750 family protein,WP_032440588.1
BHE81_RS26950,conjugal transfer protein TraQ,WP_064357947.1
BHE81_RS26955,conjugal transfer protein TraP,WP_103468721.1
BHE81_RS26960,conjugal transfer protein TraO,WP_103468720.1
BHE81_RS26965,DotH/IcmK family type IV secretion protein,WP_416333003.1
BHE81_RS26970,DotI/IcmL/TraM family protein,WP_196548568.1
BHE81_RS26975,conjugal transfer protein,WP_103468718.1
BHE81_RS26980,LPD7 domain-containing protein,WP_103468717.1
BHE81_RS26985,IcmT/TraK family protein,WP_032440577.1
BHE81_RS26990,plasmid transfer ATPase TraJ,WP_077255878.1
BHE81_RS26995,type IV secretory system conjugative DNA transfer family protein,WP_416333002.1
BHE81_RS27000,DotD/TraH family lipoprotein,WP_032440575.1
BHE81_RS27005,lytic transglycosylase domain-containing protein,WP_064357937.1
BHE81_RS27010,hypothetical protein,WP_103468714.1
BHE81_RS27015,helix-turn-helix domain-containing protein,WP_103468713.1
BHE81_RS27020,glycosyltransferase family 9 protein,WP_103468725.1
BHE81_RS27025,molybdopterin-dependent oxidoreductase,WP_103468712.1
BHE81_RS27030,hybrid sensor histidine kinase/response regulator,WP_103468711.1
BHE81_RS27035,Rpn family recombination-promoting nuclease/putative transposase,WP_103468710.1
BHE81_RS27040,TraI/MobA(P) family conjugative relaxase,WP_103468709.1
BHE81_RS27045,plasmid mobilization protein MobA,WP_103468708.1
BHE81_RS27050,MobC,WP_227538284.1
BHE81_RS27055,hypothetical protein,WP_032440568.1
BHE81_RS27060,hypothetical protein,WP_032440567.1
BHE81_RS27065,hypothetical protein,WP_103468707.1
BHE81_RS27070,antirestriction protein,WP_040027871.1
BHE81_RS27075,hypothetical protein,WP_103468706.1
BHE81_RS27080,DUF1380 family protein,WP_103468705.1
BHE81_RS27090,Hha/YmoA family nucleoid-associated regulatory protein,WP_004187345.1
BHE81_RS27095,hypothetical protein,WP_011091056.1
BHE81_RS27100,DUF4942 domain-containing protein,WP_103468703.1
BHE81_RS27105,cobalamin biosynthesis protein CbiX,WP_103468702.1
BHE81_RS27110,DGQHR domain-containing protein,WP_103468701.1
BHE81_RS27115,helix-turn-helix domain-containing protein,WP_020805667.1
BHE81_RS27120,JAB domain-containing protein,WP_103468700.1
BHE81_RS27125,DUF3085 domain-containing protein,WP_227538282.1
BHE81_RS27130,hypothetical protein,WP_103468699.1
BHE81_RS27135,hypothetical protein,WP_103468698.1
BHE81_RS27140,sugar ABC transporter substrate-binding protein,WP_103468723.1
BHE81_RS28460,hypothetical protein,WP_167877745.1
BHE81_RS27145,plasmid partitioning/stability family protein,WP_103468697.1
BHE81_RS27150,plasmid segregation protein ParM,WP_103468696.1
BHE81_RS27155,tyrosine-type recombinase/integrase,WP_103468695.1
BHE81_RS27165,hypothetical protein,WP_103468694.1
BHE81_RS27170,restriction endonuclease,WP_103468693.1
BHE81_RS27175,helix-turn-helix domain-containing protein,WP_103468692.1
BHE81_RS27180,hypothetical protein,WP_103468691.1
BHE81_RS27185,hypothetical protein,WP_103468690.1
BHE81_RS27190,hypothetical protein,WP_103468689.1
BHE81_RS27195,hypothetical protein,WP_103468688.1
BHE81_RS27200,hypothetical protein,WP_103468687.1
BHE81_RS27205,hypothetical protein,WP_103468686.1
BHE81_RS27210,FitA-like ribbon-helix-helix domain-containing protein,WP_103468685.1
BHE81_RS27215,hypothetical protein,WP_032440553.1
BHE81_RS29195,IS3 family transposase,
BHE81_RS29200,integrase,
BHE81_RS27225,MalY/PatB family protein,WP_158656807.1
BHE81_RS27230,IS3 family transposase,WP_097311113.1
BHE81_RS27230,IS3 family transposase,WP_097311113.1
BHE81_RS27235,hypothetical protein,WP_103468683.1
BHE81_RS27240,KamA family radical SAM protein,WP_103468682.1
BHE81_RS27245,class I tRNA ligase family protein,WP_103468681.1
BHE81_RS27250,MFS transporter,WP_103468680.1
BHE81_RS27255,hypothetical protein,WP_149888860.1
BHE81_RS27270,DUF2913 family protein,WP_103468679.1
BHE81_RS27275,IS110-like element IS4321 family transposase,WP_149888861.1
BHE81_RS27280,Tn3 family transposase,
BHE81_RS27285,alpha/beta hydrolase family protein,WP_004729622.1
BHE81_RS27290,DMT family transporter,WP_001567390.1
BHE81_RS27295,MalY/PatB family protein,WP_023287190.1
BHE81_RS27300,SDR family NAD(P)-dependent oxidoreductase,WP_004729618.1
BHE81_RS27305,DsbA family oxidoreductase,WP_001194072.1
BHE81_RS27310,alkene reductase,WP_021242986.1
BHE81_RS27315,thioredoxin family protein,WP_021242987.1
BHE81_RS27320,carboxymuconolactone decarboxylase family protein,WP_021242988.1
BHE81_RS27325,TetR/AcrR family transcriptional regulator,WP_020277920.1
BHE81_RS27330,OsmC family protein,WP_000108589.1
BHE81_RS27335,recombinase family protein,WP_012695450.1
BHE81_RS27340,Tn3 family transposase,WP_021242989.1
BHE81_RS27345,IS110-like element IS5075 family transposase,WP_047721751.1
BHE81_RS27350,YdgH/BhsA/McbA-like domain containing protein,WP_001567383.1
BHE81_RS27355,TetR/AcrR family transcriptional regulator,WP_001567382.1
BHE81_RS27360,DUF1471 domain-containing protein,WP_001567381.1
BHE81_RS27365,DUF417 family protein,WP_001567380.1
BHE81_RS28995,hypothetical protein,WP_266095328.1
BHE81_RS27370,peptide-methionine (R)-S-oxide reductase MsrB,WP_021243015.1
BHE81_RS27375,peptide-methionine (S)-S-oxide reductase MsrA,WP_021243016.1
BHE81_RS27380,CopG family ribbon-helix-helix protein,WP_014542884.1
BHE81_RS27385,type II toxin-antitoxin system RelE/ParE family toxin,WP_015059150.1
BHE81_RS27390,hypothetical protein,WP_048234297.1
BHE81_RS27395,MbeD family mobilization/exclusion protein,WP_032634148.1
BHE81_RS27400,MbeB family mobilization protein,WP_015059161.1
BHE81_RS27405,recombinase family protein,WP_000509966.1
BHE81_RS27410,Tn3-like element Tn5403 family transposase,
BHE81_RS27415,IS4 family transposase,
BHE81_RS27420,hypothetical protein,WP_004099020.1
BHE81_RS27425,IS4-like element ISApu1 family transposase,WP_011191342.1
BHE81_RS28940,hypothetical protein,
BHE81_RS27435,GIY-YIG nuclease family protein,WP_223306706.1
BHE81_RS27440,IS30 family transposase,
BHE81_RS27445,peptide-methionine (R)-S-oxide reductase MsrB,WP_003464965.1
BHE81_RS27450,peptide-methionine (S)-S-oxide reductase MsrA,WP_003464967.1
BHE81_RS27455,glutathione S-transferase N-terminal domain-containing protein,WP_003464969.1
BHE81_RS27460,magnesium and cobalt transport protein CorA,WP_003464971.1
BHE81_RS27465,zinc-binding alcohol dehydrogenase family protein,WP_002118279.1
BHE81_RS27470,GlcG/HbpS family heme-binding protein,WP_005006001.1
BHE81_RS27475,DUF1330 domain-containing protein,WP_010591688.1
BHE81_RS27485,TlpA family protein disulfide reductase,WP_003464979.1
BHE81_RS27490,sulfite oxidase-like oxidoreductase,WP_003464980.1
BHE81_RS27495,ferredoxin reductase,WP_002118292.1
BHE81_RS27500,glutaredoxin 3,WP_005005995.1
BHE81_RS27505,DUF427 domain-containing protein,WP_003464986.1
BHE81_RS28945,hypothetical protein,WP_003464988.1
BHE81_RS27520,succinate dehydrogenase%2C cytochrome b556 subunit,WP_005005993.1
BHE81_RS27525,YkgB family protein,WP_003464991.1
BHE81_RS27530,AraC family transcriptional regulator,WP_003464995.1
BHE81_RS27535,Tn3 family transposase,
BHE81_RS27540,IS6-like element IS26 family transposase,WP_001067855.1
BHE81_RS27545,recombinase family protein,
BHE81_RS27550,IS481 family transposase,WP_033488203.1
BHE81_RS27555,AAA family ATPase,
BHE81_RS27560,IS6-like element IS26 family transposase,WP_001067855.1
BHE81_RS27565,IS66 family transposase,
BHE81_RS27570,chlorite dismutase family protein,WP_001097412.1
BHE81_RS27575,cupin domain-containing protein,WP_001348195.1
BHE81_RS27580,IS66 family transposase,
BHE81_RS29085,DNA polymerase V subunit UmuC,
BHE81_RS27590,thermonuclease family protein,WP_009486461.1
BHE81_RS27600,IS6-like element IS26 family transposase,WP_001067855.1
BHE81_RS27605,DMT family transporter,WP_004118538.1
BHE81_RS27610,Na+/H+ antiporter NhaA,WP_011977829.1
BHE81_RS27615,fluoride efflux transporter CrcB,WP_004118534.1
