gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference,log2fc
BHE81_RS02085,gene_0072,K20072,ko02010,M2072,,ABC transporter,NO,-1.2469258690345018
BHE81_RS02090,gene_0073,K20073,ko00920,M2073,,ion channel,NO,-1.2753150643987048
BHE81_RS02095,gene_0074,K20074,ko02010,M2074,,membrane transporter,NO,-1.1497498657872798
BHE81_RS02100,gene_0075,K20075,ko02010,M2075,,membrane transporter,NO,-1.3994174429737964
BHE81_RS02105,gene_0076,K20076,ko00920,M2076,,membrane transporter,NO,-1.5996487893373188
BHE81_RS02140,gene_0077,K20077,ko00920,M2077,,ion channel,NO,-1.1177523384986308
BHE81_RS02180,gene_0078,K20078,ko00020,M2078,,catabolic enzyme,NO,-2.631663601998888
BHE81_RS02185,gene_0079,K20079,ko01200,M2079,,biosynthesis protein,NO,-1.713961918337788
BHE81_RS02210,gene_0080,K20080,ko00190,M2080,,oxidative stress protein,NO,2.302690112183445
BHE81_RS02230,gene_0081,K20081,ko00020,M2081,,metabolic enzyme,NO,-3.969203286492375
BHE81_RS02245,gene_0082,K20082,ko00920,M2082,,ABC transporter,NO,-1.2482127303361057
BHE81_RS02255,gene_0083,K20083,ko00920,M2083,,membrane transporter,NO,-1.3339067196718153
BHE81_RS02425,gene_0084,K20084,ko00190,M2084,,oxidative stress protein,NO,2.0738483416189086
BHE81_RS02455,gene_0085,K20085,ko00190,M2085,,oxidative stress protein,NO,2.607663779045428
BHE81_RS02510,gene_0086,K20086,ko02020,M2086,,stress response regulator,NO,5.783050838815717
BHE81_RS02640,gene_0087,K20087,ko03410,M2087,,oxidative stress protein,NO,4.658350923126887
BHE81_RS02645,gene_0088,K20088,ko02020,M2088,,DNA repair enzyme,NO,2.910578902299567
BHE81_RS02695,gene_0089,K20089,ko02020,M2089,,stress response regulator,NO,3.468907081718191
BHE81_RS02700,gene_0090,K20090,ko02020,M2090,,oxidative stress protein,NO,2.862101155288041
BHE81_RS02710,gene_0091,K20091,ko00190,M2091,,stress response regulator,NO,2.376271553038944
BHE81_RS02740,gene_0092,K20092,ko00190,M2092,,DNA repair enzyme,NO,2.398205805193683
BHE81_RS02745,gene_0093,K20093,ko02020,M2093,,stress response regulator,NO,1.580702119808702
BHE81_RS02750,gene_0094,K20094,ko03410,M2094,,oxidative stress protein,NO,2.449749065756311
BHE81_RS02770,gene_0095,K20095,ko01200,M2095,,catabolic enzyme,NO,-2.430470558461627
BHE81_RS02800,gene_0096,K20096,ko00190,M2096,,DNA repair enzyme,NO,2.324635262816384
BHE81_RS02845,gene_0097,K20097,ko02020,M2097,,oxidative stress protein,NO,2.433415106169765
BHE81_RS02850,gene_0098,K20098,ko02020,M2098,,stress response regulator,NO,1.202975193602366
BHE81_RS02965,gene_0099,K20099,ko03410,M2099,,DNA repair enzyme,NO,4.474093530065512
BHE81_RS02985,gene_0100,K20100,ko01060,M2100,,polymerization enzyme,NO,1.3328243766768917
BHE81_RS03145,gene_0101,K20101,ko00190,M2101,,stress response regulator,NO,1.038194922682513
BHE81_RS03180,gene_0102,K20102,ko03410,M2102,,stress response regulator,NO,2.2546819743771005
BHE81_RS03205,gene_0103,K20103,ko03410,M2103,,stress response regulator,NO,2.5476965161608933
BHE81_RS03235,gene_0104,K20104,ko02010,M2104,,membrane transporter,NO,1.163238938256947
BHE81_RS03255,gene_0105,K20105,ko02020,M2105,,stress response regulator,NO,2.8851568418913884
BHE81_RS03290,gene_0106,K20106,ko01230,M2106,,biosynthesis protein,NO,-1.9884818651102223
BHE81_RS03295,gene_0107,K20107,ko02010,M2107,,ion channel,NO,-1.942342027923488
BHE81_RS03380,gene_0108,K20108,ko02020,M2108,,stress response regulator,NO,1.0131701837717604
BHE81_RS03425,gene_0109,K20109,ko00520,M2109,,biosynthetic enzyme,NO,1.3781151653303367
BHE81_RS03495,gene_0110,K20110,ko02010,M2110,,membrane transporter,NO,-1.202925163740105
BHE81_RS03530,gene_0111,K20111,ko00920,M2111,,membrane transporter,NO,1.2768223292799088
BHE81_RS03535,gene_0112,K20112,ko02020,M2112,,DNA repair enzyme,NO,1.2691766883530349
BHE81_RS03575,gene_0113,K20113,ko01230,M2113,,metabolic enzyme,NO,-1.2115590948169437
BHE81_RS03615,gene_0114,K20114,ko01200,M2114,,biosynthesis protein,NO,-4.208932216248803
BHE81_RS03660,gene_0115,K20115,ko01060,M2115,,polymerization enzyme,NO,1.0281043411456527
BHE81_RS03690,gene_0116,K20116,ko01230,M2116,,metabolic enzyme,NO,-2.517183810581934
BHE81_RS03725,gene_0117,K20117,ko00190,M2117,,oxidative stress protein,NO,3.977511939619625
BHE81_RS03730,gene_0118,K20118,ko00190,M2118,,DNA repair enzyme,NO,3.435050428419602
BHE81_RS03735,gene_0119,K20119,ko00190,M2119,,DNA repair enzyme,NO,3.8117055653764
BHE81_RS03795,gene_0120,K20120,ko01060,M2120,,precursor synthesis,NO,1.9714370593872528
BHE81_RS03800,gene_0121,K20121,ko02020,M2121,,stress response regulator,NO,3.325849750985478
BHE81_RS03825,gene_0122,K20122,ko00920,M2122,,ion channel,NO,-1.92767086495507
BHE81_RS03855,gene_0123,K20123,ko01200,M2123,,metabolic enzyme,NO,-2.7552632683498715
BHE81_RS03860,gene_0124,K20124,ko00020,M2124,,catabolic enzyme,NO,-3.6674243859256217
BHE81_RS03900,gene_0125,K20125,ko02020,M2125,,oxidative stress protein,NO,2.058405578668808
BHE81_RS03905,gene_0126,K20126,ko00520,M2126,,precursor synthesis,NO,1.692289222737183
BHE81_RS03910,gene_0127,K20127,ko02010,M2127,,ion channel,NO,1.496540612960515
BHE81_RS03915,gene_0128,K20128,ko00190,M2128,,oxidative stress protein,NO,1.798768449710605
BHE81_RS03920,gene_0129,K20129,ko02010,M2129,,ion channel,NO,1.94507894450144
BHE81_RS03925,gene_0130,K20130,ko00190,M2130,,oxidative stress protein,NO,4.407152436073443
BHE81_RS03930,gene_0131,K20131,ko02010,M2131,,ABC transporter,NO,1.9212618610599792
BHE81_RS03985,gene_0132,K20132,ko00020,M2132,,biosynthesis protein,NO,-1.8460416707142864
BHE81_RS04035,gene_0133,K20133,ko00020,M2133,,biosynthesis protein,NO,-5.052688765185585
BHE81_RS04040,gene_0134,K20134,ko01200,M2134,,catabolic enzyme,NO,-3.893416954935661
BHE81_RS04155,gene_0135,K20135,ko01230,M2135,,metabolic enzyme,NO,-2.650248222085257
BHE81_RS04195,gene_0136,K20136,ko02020,M2136,,oxidative stress protein,NO,3.5264311182209305
BHE81_RS04320,gene_0137,K20137,ko02010,M2137,,ABC transporter,NO,-1.6564923679466892
BHE81_RS04580,gene_0138,K20138,ko03410,M2138,,oxidative stress protein,NO,5.520266989566724
BHE81_RS04585,gene_0139,K20139,ko02020,M2139,,stress response regulator,NO,3.0263410473539
BHE81_RS04635,gene_0140,K20140,ko01200,M2140,,metabolic enzyme,NO,-3.734350801628288
BHE81_RS04900,gene_0141,K20141,ko02020,M2141,,DNA repair enzyme,NO,3.3616292911747614
BHE81_RS04905,gene_0142,K20142,ko02020,M2142,,DNA repair enzyme,NO,3.2892824912925587
BHE81_RS04910,gene_0143,K20143,ko00520,M2143,,precursor synthesis,NO,1.6651296901827235
BHE81_RS04915,gene_0144,K20144,ko00190,M2144,,DNA repair enzyme,NO,1.953212256098592
BHE81_RS04920,gene_0145,K20145,ko02020,M2145,,stress response regulator,NO,2.340013968387532
BHE81_RS04925,gene_0146,K20146,ko00920,M2146,,ABC transporter,NO,1.8925389370168195
BHE81_RS04965,gene_0147,K20147,ko01200,M2147,,biosynthesis protein,NO,-2.879452530182897
BHE81_RS04980,gene_0148,K20148,ko01200,M2148,,metabolic enzyme,NO,-3.2119808206853406
BHE81_RS05085,gene_0149,K20149,ko01060,M2149,,precursor synthesis,NO,1.5013140964278875
BHE81_RS05140,gene_0150,K20150,ko00020,M2150,,biosynthesis protein,NO,-2.186145390199349
BHE81_RS05145,gene_0151,K20151,ko01200,M2151,,catabolic enzyme,NO,-1.7958140149767745
BHE81_RS05155,gene_0152,K20152,ko00020,M2152,,biosynthesis protein,NO,-1.6343346470965057
BHE81_RS05215,gene_0153,K20153,ko00190,M2153,,stress response regulator,NO,1.487478963945855
BHE81_RS05275,gene_0154,K20154,ko01200,M2154,,biosynthesis protein,NO,-3.811205506392388
BHE81_RS05380,gene_0155,K20155,ko01230,M2155,,biosynthesis protein,NO,-2.9938053703709406
BHE81_RS05385,gene_0156,K20156,ko01230,M2156,,biosynthesis protein,NO,-2.254451720709262
BHE81_RS05395,gene_0157,K20157,ko00020,M2157,,metabolic enzyme,NO,-2.199102540339191
BHE81_RS05400,gene_0158,K20158,ko01230,M2158,,catabolic enzyme,NO,-3.791277102717985
BHE81_RS05405,gene_0159,K20159,ko01230,M2159,,catabolic enzyme,NO,-2.248895237765994
BHE81_RS05595,gene_0160,K20160,ko01230,M2160,,metabolic enzyme,NO,-2.1912369717434625
BHE81_RS05600,gene_0161,K20161,ko01060,M2161,,precursor synthesis,NO,1.6974087190641367
BHE81_RS05690,gene_0162,K20162,ko02010,M2162,,ABC transporter,NO,-1.269047013779922
BHE81_RS05705,gene_0163,K20163,ko00020,M2163,,metabolic enzyme,NO,-2.233824173467284
BHE81_RS05710,gene_0164,K20164,ko01230,M2164,,catabolic enzyme,NO,-2.2715152166170656
BHE81_RS05835,gene_0165,K20165,ko03410,M2165,,oxidative stress protein,NO,6.684734336431295
BHE81_RS05840,gene_0166,K20166,ko00190,M2166,,DNA repair enzyme,NO,4.793476584705702
BHE81_RS05845,gene_0167,K20167,ko00190,M2167,,oxidative stress protein,NO,2.6337861266959397
BHE81_RS05860,gene_0168,K20168,ko00190,M2168,,oxidative stress protein,NO,2.713130789082932
BHE81_RS05865,gene_0169,K20169,ko03410,M2169,,DNA repair enzyme,NO,4.531899370561901
BHE81_RS05975,gene_0170,K20170,ko03410,M2170,,stress response regulator,NO,2.2928113100283083
BHE81_RS05990,gene_0171,K20171,ko02010,M2171,,membrane transporter,NO,1.0554466008521073
BHE81_RS06175,gene_0172,K20172,ko01230,M2172,,catabolic enzyme,NO,-2.235056415741457
BHE81_RS06380,gene_0173,K20173,ko00920,M2173,,ion channel,NO,-1.8917428602428727
BHE81_RS06385,gene_0174,K20174,ko01200,M2174,,biosynthesis protein,NO,-2.119238204619881
BHE81_RS06665,gene_0175,K20175,ko02010,M2175,,membrane transporter,NO,1.541487955764541
BHE81_RS06715,gene_0176,K20176,ko00190,M2176,,stress response regulator,NO,3.887225525608753
BHE81_RS06735,gene_0177,K20177,ko00190,M2177,,stress response regulator,NO,1.6714819108703407
BHE81_RS06760,gene_0178,K20178,ko01200,M2178,,metabolic enzyme,NO,-2.852367121367488
BHE81_RS06905,gene_0179,K20179,ko02010,M2179,,ion channel,NO,1.586389193992218
BHE81_RS06945,gene_0180,K20180,ko02020,M2180,,oxidative stress protein,NO,3.178933836050611
BHE81_RS06950,gene_0181,K20181,ko03410,M2181,,oxidative stress protein,NO,4.716730325922702
BHE81_RS06955,gene_0182,K20182,ko00190,M2182,,stress response regulator,NO,3.907977057604105
BHE81_RS06960,gene_0183,K20183,ko03410,M2183,,oxidative stress protein,NO,6.020889189930385
BHE81_RS06965,gene_0184,K20184,ko03410,M2184,,oxidative stress protein,NO,7.034636772868892
BHE81_RS06970,gene_0185,K20185,ko00190,M2185,,DNA repair enzyme,NO,3.9086349287085977
BHE81_RS06975,gene_0186,K20186,ko00920,M2186,,ion channel,NO,1.3983880488652607
BHE81_RS06985,gene_0187,K20187,ko03410,M2187,,stress response regulator,NO,4.289529723340262
BHE81_RS07000,gene_0188,K20188,ko00020,M2188,,catabolic enzyme,NO,-8.36713777416077
BHE81_RS07005,gene_0189,K20189,ko01230,M2189,,metabolic enzyme,NO,-7.534311762386423
BHE81_RS07010,gene_0190,K20190,ko01200,M2190,,metabolic enzyme,NO,-7.397890206401103
BHE81_RS07160,gene_0191,K20191,ko02020,M2191,,oxidative stress protein,NO,7.141681017980544
BHE81_RS07165,gene_0192,K20192,ko03410,M2192,,oxidative stress protein,NO,6.797756315681043
BHE81_RS07170,gene_0193,K20193,ko00190,M2193,,oxidative stress protein,NO,6.773203605683686
BHE81_RS07175,gene_0194,K20194,ko00190,M2194,,oxidative stress protein,NO,6.119396602426919
BHE81_RS28645,gene_0195,K20195,ko03410,M2195,,stress response regulator,NO,5.379743130744387
BHE81_RS07190,gene_0196,K20196,ko00190,M2196,,oxidative stress protein,NO,7.605954686459964
BHE81_RS07195,gene_0197,K20197,ko03410,M2197,,stress response regulator,NO,4.638689210607786
BHE81_RS07215,gene_0198,K20198,ko02010,M2198,,ABC transporter,NO,1.358478971434141
BHE81_RS07220,gene_0199,K20199,ko00190,M2199,,DNA repair enzyme,NO,3.662415249440246
BHE81_RS07230,gene_0200,K20200,ko01200,M2200,,catabolic enzyme,NO,-3.2906902474036848
BHE81_RS07235,gene_0201,K20201,ko02010,M2201,,ABC transporter,NO,-1.872936833225047
BHE81_RS07280,gene_0202,K20202,ko00920,M2202,,membrane transporter,NO,1.3656913630254623
BHE81_RS07360,gene_0203,K20203,ko03410,M2203,,oxidative stress protein,NO,3.5106127948975603
BHE81_RS07450,gene_0204,K20204,ko03410,M2204,,stress response regulator,NO,3.376838918184825
BHE81_RS07470,gene_0205,K20205,ko00920,M2205,,ABC transporter,NO,1.7214257211499555
BHE81_RS07585,gene_0206,K20206,ko02020,M2206,,stress response regulator,NO,2.593190187692233
BHE81_RS07590,gene_0207,K20207,ko02020,M2207,,DNA repair enzyme,NO,2.9516437656939933
BHE81_RS07605,gene_0208,K20208,ko00020,M2208,,biosynthesis protein,NO,-4.582530797287888
BHE81_RS07665,gene_0209,K20209,ko00190,M2209,,stress response regulator,NO,1.2192528578581825
BHE81_RS07680,gene_0210,K20210,ko01230,M2210,,metabolic enzyme,NO,-3.043884676001792
BHE81_RS28125,gene_0211,K20211,ko03410,M2211,,DNA repair enzyme,NO,4.476296766016222
BHE81_RS07830,gene_0212,K20212,ko02020,M2212,,stress response regulator,NO,1.59519596476875
BHE81_RS07855,gene_0213,K20213,ko02020,M2213,,stress response regulator,NO,3.044323928522965
BHE81_RS07990,gene_0214,K20214,ko03410,M2214,,DNA repair enzyme,NO,3.388555137751088
BHE81_RS08205,gene_0215,K20215,ko01200,M2215,,metabolic enzyme,NO,-3.4207613101653065
BHE81_RS08215,gene_0216,K20216,ko01200,M2216,,catabolic enzyme,NO,-6.706113603080806
BHE81_RS08275,gene_0217,K20217,ko03410,M2217,,DNA repair enzyme,NO,3.529031680772789
BHE81_RS08285,gene_0218,K20218,ko03410,M2218,,oxidative stress protein,NO,3.797980208449157
BHE81_RS08290,gene_0219,K20219,ko03410,M2219,,DNA repair enzyme,NO,2.7708591554148057
BHE81_RS08305,gene_0220,K20220,ko02020,M2220,,DNA repair enzyme,NO,3.335770151455445
BHE81_RS08355,gene_0221,K20221,ko02020,M2221,,oxidative stress protein,NO,3.9399545087978938
BHE81_RS08360,gene_0222,K20222,ko00190,M2222,,stress response regulator,NO,2.419553302968737
BHE81_RS08410,gene_0223,K20223,ko00920,M2223,,ion channel,NO,-1.105621059315038
BHE81_RS08425,gene_0224,K20224,ko02020,M2224,,DNA repair enzyme,NO,2.2471068444343207
BHE81_RS08430,gene_0225,K20225,ko00190,M2225,,oxidative stress protein,NO,2.0111060826561107
BHE81_RS08440,gene_0226,K20226,ko02020,M2226,,stress response regulator,NO,2.414467981021062
BHE81_RS08490,gene_0227,K20227,ko00190,M2227,,DNA repair enzyme,NO,2.573684137694079
BHE81_RS08495,gene_0228,K20228,ko00190,M2228,,stress response regulator,NO,3.3115105388499337
BHE81_RS08530,gene_0229,K20229,ko03410,M2229,,oxidative stress protein,NO,2.098625997027208
BHE81_RS08670,gene_0230,K20230,ko00190,M2230,,stress response regulator,NO,2.295128165578848
BHE81_RS08690,gene_0231,K20231,ko00020,M2231,,metabolic enzyme,NO,-1.6516918674585528
BHE81_RS08780,gene_0232,K20232,ko02020,M2232,,stress response regulator,NO,1.8890990160571155
BHE81_RS08790,gene_0233,K20233,ko01060,M2233,,polymerization enzyme,NO,1.757259075138596
BHE81_RS08795,gene_0234,K20234,ko00920,M2234,,ABC transporter,NO,1.3745534214224695
BHE81_RS08825,gene_0235,K20235,ko00020,M2235,,biosynthesis protein,NO,-4.88799832423817
BHE81_RS08830,gene_0236,K20236,ko01200,M2236,,catabolic enzyme,NO,-8.888523589004604
BHE81_RS08835,gene_0237,K20237,ko01230,M2237,,metabolic enzyme,NO,-7.761838045586218
BHE81_RS08840,gene_0238,K20238,ko01200,M2238,,biosynthesis protein,NO,-7.71620431715136
BHE81_RS08845,gene_0239,K20239,ko01200,M2239,,biosynthesis protein,NO,-8.090212998730815
BHE81_RS08850,gene_0240,K20240,ko00020,M2240,,biosynthesis protein,NO,-7.632160432194348
BHE81_RS08855,gene_0241,K20241,ko01200,M2241,,catabolic enzyme,NO,-2.2949605334433727
BHE81_RS08860,gene_0242,K20242,ko01230,M2242,,catabolic enzyme,NO,-2.4900214438817527
BHE81_RS08910,gene_0243,K20243,ko00520,M2243,,polymerization enzyme,NO,1.000064280250419
BHE81_RS08920,gene_0244,K20244,ko00190,M2244,,oxidative stress protein,NO,1.9134399178117127
BHE81_RS08980,gene_0245,K20245,ko01200,M2245,,metabolic enzyme,NO,-3.420796846888265
BHE81_RS09000,gene_0246,K20246,ko03410,M2246,,DNA repair enzyme,NO,2.1647879433899075
BHE81_RS09090,gene_0247,K20247,ko00190,M2247,,stress response regulator,NO,2.8145516375775013
BHE81_RS09170,gene_0248,K20248,ko01200,M2248,,biosynthesis protein,NO,-2.477058281808977
BHE81_RS09210,gene_0249,K20249,ko02020,M2249,,stress response regulator,NO,5.893329733194439
BHE81_RS09245,gene_0250,K20250,ko00190,M2250,,DNA repair enzyme,NO,2.31871801229003
BHE81_RS09265,gene_0251,K20251,ko00520,M2251,,polymerization enzyme,NO,1.6113888063303496
BHE81_RS09270,gene_0252,K20252,ko02020,M2252,,stress response regulator,NO,2.0906518747728566
BHE81_RS09470,gene_0253,K20253,ko03410,M2253,,DNA repair enzyme,NO,2.300525002611205
BHE81_RS09485,gene_0254,K20254,ko02010,M2254,,ABC transporter,NO,1.2895718466724044
BHE81_RS09560,gene_0255,K20255,ko00920,M2255,,membrane transporter,NO,1.2222299771305336
BHE81_RS09565,gene_0256,K20256,ko01060,M2256,,polymerization enzyme,NO,1.531131016315443
BHE81_RS09570,gene_0257,K20257,ko00920,M2257,,ion channel,NO,-1.2676480034138415
BHE81_RS09645,gene_0258,K20258,ko00190,M2258,,oxidative stress protein,NO,1.2838209336127568
BHE81_RS09730,gene_0259,K20259,ko00190,M2259,,DNA repair enzyme,NO,2.4146331084121604
BHE81_RS09735,gene_0260,K20260,ko00190,M2260,,DNA repair enzyme,NO,2.4148331323207364
BHE81_RS09790,gene_0261,K20261,ko01200,M2261,,metabolic enzyme,NO,-2.332227400140835
BHE81_RS10105,gene_0262,K20262,ko00920,M2262,,ABC transporter,NO,-1.036251594754194
BHE81_RS10210,gene_0263,K20263,ko00020,M2263,,biosynthesis protein,NO,-2.0002964088134805
BHE81_RS10245,gene_0264,K20264,ko02010,M2264,,ABC transporter,NO,1.340370304731486
BHE81_RS10425,gene_0265,K20265,ko00520,M2265,,polymerization enzyme,NO,1.9335896241871984
BHE81_RS10685,gene_0266,K20266,ko03410,M2266,,stress response regulator,NO,1.6434195445619109
BHE81_RS10835,gene_0267,K20267,ko00020,M2267,,metabolic enzyme,NO,-2.886132158521606
BHE81_RS10850,gene_0268,K20268,ko00190,M2268,,stress response regulator,NO,3.697690462051664
BHE81_RS10905,gene_0269,K20269,ko00920,M2269,,ion channel,NO,1.3715104186991174
BHE81_RS10985,gene_0270,K20270,ko00190,M2270,,stress response regulator,NO,1.8852461115094128
BHE81_RS11030,gene_0271,K20271,ko03410,M2271,,DNA repair enzyme,NO,2.482984386022565
BHE81_RS11050,gene_0272,K20272,ko00920,M2272,,membrane transporter,NO,1.91628725153094
BHE81_RS11130,gene_0273,K20273,ko00920,M2273,,ABC transporter,NO,-1.4597004940249692
BHE81_RS11135,gene_0274,K20274,ko01200,M2274,,biosynthesis protein,NO,-1.1561423976669811
BHE81_RS11215,gene_0275,K20275,ko03410,M2275,,oxidative stress protein,NO,1.2792560602704357
