Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference
BHE81_RS00595,22.85056825699448,2.529030234153048,0.7156593434710546,3.533846455335682,0.000409558930597,0.004245526113486,BHE81_RS00595,gene_44,K99991,"ko02020,ko03410,ko00190",M2044,,Stress response protein,NO
BHE81_RS00600,66.21349979323806,1.2079195428715812,0.3931552286502137,3.072373085355187,0.0021236411731218,0.0165612608306857,BHE81_RS00600,gene_45,K99991,"ko02020,ko03410,ko00190",M2045,,Stress response protein,NO
BHE81_RS00805,12.526667709108128,3.055097742322114,0.8248607605537155,3.703773883329444,0.0002124156125719,0.0025019448347043,BHE81_RS00805,gene_49,K99991,"ko02020,ko03410,ko00190",M2049,,Stress response protein,NO
BHE81_RS00810,13.864497399085474,2.19860474750218,0.8170630094172028,2.69086315518115,0.0071267421620203,0.0431834817110034,BHE81_RS00810,gene_50,K99991,"ko02020,ko03410,ko00190",M2050,,Stress response protein,NO
BHE81_RS01030,108.55448781858684,1.519474163593389,0.33462600187656,4.540813191659586,5.603766764713397e-06,0.0001031068104236,BHE81_RS01030,gene_54,K99991,"ko02020,ko03410,ko00190",M2054,,Stress response protein,NO
BHE81_RS01035,91.58941109489906,1.3455612437732296,0.3852565871622766,3.4926365664098467,0.0004782769631825,0.0048273935590125,BHE81_RS01035,gene_55,K99991,"ko02020,ko03410,ko00190",M2055,,Stress response protein,NO
BHE81_RS01160,39.40818233113864,1.1483573901572606,0.4238642820369694,2.709257276028511,0.0067434026264082,0.0415334535486369,BHE81_RS01160,gene_56,K99991,"ko02020,ko03410,ko00190",M2056,,Stress response protein,NO
BHE81_RS01440,86.86222231082526,2.6003784405269688,0.5168307581445108,5.031392577838562,4.869299157208589e-07,1.1720909841627005e-05,BHE81_RS01440,gene_60,K99991,"ko02020,ko03410,ko00190",M2060,,Stress response protein,NO
BHE81_RS01470,53.92760667654027,1.1452123413015205,0.3698929044658428,3.096064637831607,0.0019610760712199,0.0154650092420131,BHE81_RS01470,gene_61,K99991,"ko02020,ko03410,ko00190",M2061,,Stress response protein,NO
BHE81_RS01495,646.2793865728387,3.4260265723876446,0.2692807233770889,12.722880900724508,4.4128500720550864e-37,3.723562890800081e-34,BHE81_RS01495,gene_62,K99991,"ko02020,ko03410,ko00190",M2062,,Stress response protein,NO
BHE81_RS01555,69.6227299329912,1.1439013110776508,0.4012620613314464,2.850758696902514,0.0043615054840134,0.0294890891619435,BHE81_RS01555,gene_63,K99991,"ko02020,ko03410,ko00190",M2063,,Stress response protein,NO
BHE81_RS01565,224.77541366488288,1.370489170536426,0.2776040454668012,4.936848698411073,7.939501788328406e-07,1.7912704836875694e-05,BHE81_RS01565,gene_64,K99991,"ko02020,ko03410,ko00190",M2064,,Stress response protein,NO
BHE81_RS01755,45.73775141627681,1.3994482476157453,0.4923155358664486,2.842583964271597,0.0044749442158799,0.0299679200742816,BHE81_RS01755,gene_65,K99991,"ko02020,ko03410,ko00190",M2065,,Stress response protein,NO
BHE81_RS01760,54.20481622528317,4.5193850334295815,0.6286321196673613,7.189236585335474,6.515459051178504e-13,4.5063478257249347e-11,BHE81_RS01760,gene_66,K99991,"ko02020,ko03410,ko00190",M2066,,Stress response protein,NO
BHE81_RS01765,41.247678145746825,7.174633861233923,1.3751553670058294,5.217326007937189,1.8152460355429494e-07,4.816681147141952e-06,BHE81_RS01765,gene_67,K99991,"ko02020,ko03410,ko00190",M2067,,Stress response protein,NO
BHE81_RS02060,95.43302915632448,2.706429547025644,0.5080387296035382,5.327211075300656,9.973224291475519e-08,2.9220162003982783e-06,BHE81_RS02060,gene_71,K99991,"ko02020,ko03410,ko00190",M2071,,Stress response protein,NO
BHE81_RS02210,12.036936559181385,2.302690112183445,0.7777642835169339,2.9606529394369,0.0030698765990013,0.0223480272736824,BHE81_RS02210,gene_80,K99991,"ko02020,ko03410,ko00190",M2080,,Stress response protein,NO
BHE81_RS02425,19.43603791115058,2.0738483416189086,0.5816212663946421,3.5656336200949017,0.0003629781664816,0.0038671840514803,BHE81_RS02425,gene_84,K99991,"ko02020,ko03410,ko00190",M2084,,Stress response protein,NO
BHE81_RS02455,13.911420313030618,2.607663779045428,0.8575473134510961,3.0408395410291686,0.0023591952104886,0.0181632200603131,BHE81_RS02455,gene_85,K99991,"ko02020,ko03410,ko00190",M2085,,Stress response protein,NO
BHE81_RS02510,8.121180219496217,5.783050838815717,1.9746824539646683,2.928597875169649,0.0034049461382334,0.0240225213331219,BHE81_RS02510,gene_86,K99991,"ko02020,ko03410,ko00190",M2086,,Stress response protein,NO
BHE81_RS02640,193.29990568373364,4.658350923126887,0.4414448346302257,10.552509753634183,4.945802573362723e-26,1.7388617547514438e-23,BHE81_RS02640,gene_87,K99991,"ko02020,ko03410,ko00190",M2087,,Stress response protein,NO
BHE81_RS02645,9.460914685357206,2.910578902299567,0.976083130759745,2.9818965317370933,0.0028646879782943,0.0210193366616065,BHE81_RS02645,gene_88,K99991,"ko02020,ko03410,ko00190",M2088,,Stress response protein,NO
BHE81_RS02695,35.70801875853379,3.468907081718191,0.5728065760334887,6.055983340378732,1.3956244653741544e-09,5.661672710974576e-08,BHE81_RS02695,gene_89,K99991,"ko02020,ko03410,ko00190",M2089,,Stress response protein,NO
BHE81_RS02700,30.41414522516114,2.862101155288041,0.7728922278387128,3.7031051059880817,0.0002129765914754,0.0025019448347043,BHE81_RS02700,gene_90,K99991,"ko02020,ko03410,ko00190",M2090,,Stress response protein,NO
BHE81_RS02710,52.0036871029684,2.376271553038944,0.5641452220676255,4.212162861771244,2.5293706523208648e-05,0.0003996784562599,BHE81_RS02710,gene_91,K99991,"ko02020,ko03410,ko00190",M2091,,Stress response protein,NO
BHE81_RS02740,40.337501242132525,2.398205805193683,0.5252182347722975,4.566112991551785,4.968510259825152e-06,9.316508793867696e-05,BHE81_RS02740,gene_92,K99991,"ko02020,ko03410,ko00190",M2092,,Stress response protein,NO
BHE81_RS02745,41.70634817209983,1.580702119808702,0.4820294960782065,3.2792643036770563,0.0010407810944312,0.0093030835538249,BHE81_RS02745,gene_93,K99991,"ko02020,ko03410,ko00190",M2093,,Stress response protein,NO
BHE81_RS02750,8.518218098721304,2.449749065756311,0.881932007797455,2.777707401587948,0.0054743890393756,0.0350950562771954,BHE81_RS02750,gene_94,K99991,"ko02020,ko03410,ko00190",M2094,,Stress response protein,NO
BHE81_RS02800,115.3722239586268,2.324635262816384,0.3089464286344219,7.524395970821005,5.2964603762895296e-14,4.4691532655131036e-12,BHE81_RS02800,gene_96,K99991,"ko02020,ko03410,ko00190",M2096,,Stress response protein,NO
BHE81_RS02845,34.40735719219794,2.433415106169765,0.6312859304411329,3.854695612286705,0.0001158737050928,0.0014996047907568,BHE81_RS02845,gene_97,K99991,"ko02020,ko03410,ko00190",M2097,,Stress response protein,NO
BHE81_RS02850,39.65339741036605,1.202975193602366,0.4064712717644292,2.9595577281032326,0.0030808097534393,0.0223716632525999,BHE81_RS02850,gene_98,K99991,"ko02020,ko03410,ko00190",M2098,,Stress response protein,NO
BHE81_RS02965,6.513562186618425,4.474093530065512,1.5238830250711153,2.935982261405346,0.0033249333503339,0.0235762921093429,BHE81_RS02965,gene_99,K99991,"ko02020,ko03410,ko00190",M2099,,Stress response protein,NO
BHE81_RS02985,75.78291763943203,1.3328243766768917,0.3609082299799586,3.6929730772581824,0.0002216474963164,0.0025620021560522,BHE81_RS02985,gene_100,K99991,"ko02020,ko03410,ko00190",M2100,,Stress response protein,NO
BHE81_RS03145,466.1284455242797,1.038194922682513,0.2625704957666802,3.9539664182416416,7.686620266700777e-05,0.0010295190763558,BHE81_RS03145,gene_101,K99991,"ko02020,ko03410,ko00190",M2101,,Stress response protein,NO
BHE81_RS03180,31.644820508594343,2.2546819743771005,0.5695050662388987,3.9590200474727566,7.525792020808217e-05,0.0010176704017881,BHE81_RS03180,gene_102,K99991,"ko02020,ko03410,ko00190",M2102,,Stress response protein,NO
BHE81_RS03205,9.144508458864616,2.5476965161608933,0.8654346624796472,2.943834614690868,0.0032417317969002,0.0231755391908881,BHE81_RS03205,gene_103,K99991,"ko02020,ko03410,ko00190",M2103,,Stress response protein,NO
BHE81_RS03235,126.86823709879336,1.163238938256947,0.3883510376668365,2.9953285183568408,0.0027414940134782,0.0203633155684235,BHE81_RS03235,gene_104,K99991,"ko02020,ko03410,ko00190",M2104,,Stress response protein,NO
BHE81_RS03255,7.553359260311506,2.8851568418913884,1.049986141224634,2.747804688666017,0.0059995736024054,0.0376109970706514,BHE81_RS03255,gene_105,K99991,"ko02020,ko03410,ko00190",M2105,,Stress response protein,NO
BHE81_RS03380,131.68217873371978,1.0131701837717604,0.3615557918967553,2.8022512886782303,0.0050747328521879,0.0331428760114256,BHE81_RS03380,gene_108,K99991,"ko02020,ko03410,ko00190",M2108,,Stress response protein,NO
BHE81_RS03425,53.09434895568577,1.3781151653303367,0.3991407704172027,3.4527045781112733,0.0005549964553191,0.0054327843271265,BHE81_RS03425,gene_109,K99991,"ko02020,ko03410,ko00190",M2109,,Stress response protein,NO
BHE81_RS03530,41.46119669477362,1.2768223292799088,0.4745638353075816,2.6905175537709383,0.0071341281707915,0.0431834817110034,BHE81_RS03530,gene_111,K99991,"ko02020,ko03410,ko00190",M2111,,Stress response protein,NO
BHE81_RS03535,82.35477993920117,1.2691766883530349,0.3698830678873479,3.431291666315412,0.0006007143461947,0.0058128757490728,BHE81_RS03535,gene_112,K99991,"ko02020,ko03410,ko00190",M2112,,Stress response protein,NO
BHE81_RS03660,309.5289429489161,1.0281043411456527,0.3512815729379626,2.926724372551188,0.0034255231587125,0.0241273492597802,BHE81_RS03660,gene_115,K99991,"ko02020,ko03410,ko00190",M2115,,Stress response protein,NO
BHE81_RS03725,72.2709317762432,3.977511939619625,1.4648788744232848,2.715249710448279,0.0066225814375582,0.0409687259311705,BHE81_RS03725,gene_117,K99991,"ko02020,ko03410,ko00190",M2117,,Stress response protein,NO
BHE81_RS03730,83.3415859326587,3.435050428419602,0.5881094888413162,5.840834901656294,5.193985857057099e-09,1.872942421446488e-07,BHE81_RS03730,gene_118,K99991,"ko02020,ko03410,ko00190",M2118,,Stress response protein,NO
BHE81_RS03735,43.29723490832547,3.8117055653764,0.5676805948335247,6.714525034089287,1.886797844922675e-11,9.607814023475403e-10,BHE81_RS03735,gene_119,K99991,"ko02020,ko03410,ko00190",M2119,,Stress response protein,NO
BHE81_RS03795,24.7678140541323,1.9714370593872528,0.6541744232786778,3.0136260135432136,0.0025814580997385,0.0193448876070991,BHE81_RS03795,gene_120,K99991,"ko02020,ko03410,ko00190",M2120,,Stress response protein,NO
BHE81_RS03800,256.63921513817246,3.325849750985478,0.4768113133885961,6.97519051582349,3.054565936453705e-12,1.8410305265568828e-10,BHE81_RS03800,gene_121,K99991,"ko02020,ko03410,ko00190",M2121,,Stress response protein,NO
BHE81_RS03900,81.92834517993002,2.058405578668808,0.3927380772843531,5.241166308349741,1.595648201081707e-07,4.371454389846573e-06,BHE81_RS03900,gene_125,K99991,"ko02020,ko03410,ko00190",M2125,,Stress response protein,NO
BHE81_RS03905,50.40656389152491,1.692289222737183,0.4571446520706252,3.701868139705893,0.0002140178425803,0.0025019448347043,BHE81_RS03905,gene_126,K99991,"ko02020,ko03410,ko00190",M2126,,Stress response protein,NO
BHE81_RS03910,73.63907790287487,1.496540612960515,0.396281954370777,3.7764541040904738,0.0001590768555703,0.0019720870248977,BHE81_RS03910,gene_127,K99991,"ko02020,ko03410,ko00190",M2127,,Stress response protein,NO
BHE81_RS03915,61.16783198563103,1.798768449710605,0.3923051508120342,4.585125752204186,4.5371327892565015e-06,8.652228711128769e-05,BHE81_RS03915,gene_128,K99991,"ko02020,ko03410,ko00190",M2128,,Stress response protein,NO
BHE81_RS03920,24.16551427482302,1.94507894450144,0.542031414098982,3.5884985517578194,0.0003325878406467,0.00358871636749,BHE81_RS03920,gene_129,K99991,"ko02020,ko03410,ko00190",M2129,,Stress response protein,NO
BHE81_RS03925,230.14210922671143,4.407152436073443,0.3709211396180248,11.881642660248309,1.4744111262543944e-32,8.886486488096127e-30,BHE81_RS03925,gene_130,K99991,"ko02020,ko03410,ko00190",M2130,,Stress response protein,NO
BHE81_RS03930,23.815256289061583,1.9212618610599792,0.6172907803985669,3.112409778450726,0.0018556672440496,0.0147997355437536,BHE81_RS03930,gene_131,K99991,"ko02020,ko03410,ko00190",M2131,,Stress response protein,NO
BHE81_RS04195,25.1309724983953,3.5264311182209305,0.7476064984728727,4.716961563903379,2.3939289424034547e-06,4.926822540487891e-05,BHE81_RS04195,gene_136,K99991,"ko02020,ko03410,ko00190",M2136,,Stress response protein,NO
BHE81_RS04580,6.687592755450396,5.520266989566724,1.9933260759863427,2.76937479325111,0.0056163986464945,0.0357399485513732,BHE81_RS04580,gene_138,K99991,"ko02020,ko03410,ko00190",M2138,,Stress response protein,NO
BHE81_RS04585,13.179168399502371,3.0263410473539,0.8991057445002425,3.3659456252679782,0.0007628174353828,0.0071518372441782,BHE81_RS04585,gene_139,K99991,"ko02020,ko03410,ko00190",M2139,,Stress response protein,NO
BHE81_RS04900,166.62203657993723,3.3616292911747614,0.5944844706764087,5.654696559777038,1.56121840670014e-08,5.311919724087009e-07,BHE81_RS04900,gene_141,K99991,"ko02020,ko03410,ko00190",M2141,,Stress response protein,NO
BHE81_RS04905,126.39914089368084,3.2892824912925587,0.4817600231191524,6.827636859522131,8.632476151479125e-12,4.792160116196109e-10,BHE81_RS04905,gene_142,K99991,"ko02020,ko03410,ko00190",M2142,,Stress response protein,NO
BHE81_RS04910,262.7913668050132,1.6651296901827235,0.3935114899761028,4.231463966360534,2.321751934566565e-05,0.0003710405837854,BHE81_RS04910,gene_143,K99991,"ko02020,ko03410,ko00190",M2143,,Stress response protein,NO
BHE81_RS04915,233.4615334400081,1.953212256098592,0.4946257924945873,3.9488685906325145,7.85214394885472e-05,0.0010483606113993,BHE81_RS04915,gene_144,K99991,"ko02020,ko03410,ko00190",M2144,,Stress response protein,NO
BHE81_RS04920,115.47788331994268,2.340013968387532,0.4470625578715818,5.234198049436513,1.657027085258343e-07,4.481408508144199e-06,BHE81_RS04920,gene_145,K99991,"ko02020,ko03410,ko00190",M2145,,Stress response protein,NO
BHE81_RS04925,113.92385679297554,1.8925389370168195,0.3577843628947544,5.289607745024695,1.225789565274619e-07,3.4708766281165217e-06,BHE81_RS04925,gene_146,K99991,"ko02020,ko03410,ko00190",M2146,,Stress response protein,NO
BHE81_RS05085,30.713188402660283,1.5013140964278875,0.4727294942499571,3.1758418179722527,0.0014940239301285,0.0125814111002246,BHE81_RS05085,gene_149,K99991,"ko02020,ko03410,ko00190",M2149,,Stress response protein,NO
BHE81_RS05215,66.43253920493667,1.487478963945855,0.4005963317562708,3.713161719241256,0.00020468599925,0.0024325921995374,BHE81_RS05215,gene_153,K99991,"ko02020,ko03410,ko00190",M2153,,Stress response protein,NO
BHE81_RS05600,15.049363895659056,1.6974087190641367,0.6001197600245252,2.828449973043328,0.0046774010921799,0.0309795215194773,BHE81_RS05600,gene_161,K99991,"ko02020,ko03410,ko00190",M2161,,Stress response protein,NO
BHE81_RS05835,14.989975581386934,6.684734336431295,1.9319386929403275,3.460117218449317,0.0005399402904026,0.0053349135484982,BHE81_RS05835,gene_165,K99991,"ko02020,ko03410,ko00190",M2165,,Stress response protein,NO
BHE81_RS05840,13.668295714441529,4.793476584705702,1.1759002808840913,4.07643119287442,4.573217980127911e-05,0.00066303802949,BHE81_RS05840,gene_166,K99991,"ko02020,ko03410,ko00190",M2166,,Stress response protein,NO
BHE81_RS05845,24.63922535365475,2.6337861266959397,0.714571686527887,3.685824916312512,0.0002279630372518,0.0025948784735983,BHE81_RS05845,gene_167,K99991,"ko02020,ko03410,ko00190",M2167,,Stress response protein,NO
BHE81_RS05860,19.985306590852257,2.713130789082932,0.6497139763877263,4.175884908875396,2.9682987647036317e-05,0.000458727197373,BHE81_RS05860,gene_168,K99991,"ko02020,ko03410,ko00190",M2168,,Stress response protein,NO
BHE81_RS05865,11.568252728763891,4.531899370561901,1.1572451473564025,3.9161100661467634,8.998917656501895e-05,0.0011864510497744,BHE81_RS05865,gene_169,K99991,"ko02020,ko03410,ko00190",M2169,,Stress response protein,NO
BHE81_RS05975,9.23149303372905,2.2928113100283083,0.8553471647521834,2.680562237781657,0.0073498595441786,0.0442219554113786,BHE81_RS05975,gene_170,K99991,"ko02020,ko03410,ko00190",M2170,,Stress response protein,NO
BHE81_RS05990,77.72880876731854,1.0554466008521073,0.3644007808178054,2.896389515092213,0.0037748353760377,0.0261948412488249,BHE81_RS05990,gene_171,K99991,"ko02020,ko03410,ko00190",M2171,,Stress response protein,NO
BHE81_RS06665,130.7172699788639,1.541487955764541,0.4213381870561338,3.658552685515715,0.000253643602789,0.0028536596271115,BHE81_RS06665,gene_175,K99991,"ko02020,ko03410,ko00190",M2175,,Stress response protein,NO
BHE81_RS06715,7.602703111927387,3.887225525608753,1.2859353920675962,3.022877781875699,0.0025038334292869,0.0189653020433781,BHE81_RS06715,gene_176,K99991,"ko02020,ko03410,ko00190",M2176,,Stress response protein,NO
BHE81_RS06735,26.132944284282228,1.6714819108703407,0.5935924042869367,2.8158748306057557,0.0048644614897919,0.0319178274112478,BHE81_RS06735,gene_177,K99991,"ko02020,ko03410,ko00190",M2177,,Stress response protein,NO
BHE81_RS06905,178.8782213355738,1.586389193992218,0.5816462984926505,2.7274121714577766,0.0063833248404935,0.0396631038321683,BHE81_RS06905,gene_179,K99991,"ko02020,ko03410,ko00190",M2179,,Stress response protein,NO
BHE81_RS06945,33.10490475802965,3.178933836050611,0.6320560415868174,5.029512617377556,4.917281445764352e-07,1.1720909841627005e-05,BHE81_RS06945,gene_180,K99991,"ko02020,ko03410,ko00190",M2180,,Stress response protein,NO
BHE81_RS06950,14.88180475892568,4.716730325922702,1.1569967183664909,4.076701559345849,4.5679060220946286e-05,0.00066303802949,BHE81_RS06950,gene_181,K99991,"ko02020,ko03410,ko00190",M2181,,Stress response protein,NO
BHE81_RS06955,14.71487278784071,3.907977057604105,0.888982220950922,4.396012614767301,1.1025752906039326e-05,0.0001883305729173,BHE81_RS06955,gene_182,K99991,"ko02020,ko03410,ko00190",M2182,,Stress response protein,NO
BHE81_RS06960,31.936790217068776,6.020889189930385,1.0926029415716934,5.510592147289502,3.576285253344356e-08,1.1738707104658524e-06,BHE81_RS06960,gene_183,K99991,"ko02020,ko03410,ko00190",M2183,,Stress response protein,NO
BHE81_RS06965,19.19334512949245,7.034636772868892,1.9065686118524896,3.689684561644907,0.000224532285057,0.0025757395979753,BHE81_RS06965,gene_184,K99991,"ko02020,ko03410,ko00190",M2184,,Stress response protein,NO
BHE81_RS06970,39.841636757420936,3.9086349287085977,0.6052664501793166,6.4577095385852346,1.0629951390317625e-10,4.983084990638896e-09,BHE81_RS06970,gene_185,K99991,"ko02020,ko03410,ko00190",M2185,,Stress response protein,NO
BHE81_RS06975,33.789223315963014,1.3983880488652607,0.5165509425298851,2.7071638704528294,0.0067860751411607,0.0416140276461587,BHE81_RS06975,gene_186,K99991,"ko02020,ko03410,ko00190",M2186,,Stress response protein,NO
BHE81_RS06985,11.57381621065453,4.289529723340262,1.1968022213650773,3.5841592259476323,0.0003381657541146,0.0036395951954329,BHE81_RS06985,gene_187,K99991,"ko02020,ko03410,ko00190",M2187,,Stress response protein,NO
BHE81_RS07160,20.620531570509744,7.141681017980544,1.905378134265383,3.748169924671679,0.0001781295615369,0.0021595650003577,BHE81_RS07160,gene_191,K99991,"ko02020,ko03410,ko00190",M2191,,Stress response protein,NO
BHE81_RS07165,16.33237536174821,6.797756315681043,1.912449664115479,3.554475939017748,0.0003787331638929,0.0039946880461608,BHE81_RS07165,gene_192,K99991,"ko02020,ko03410,ko00190",M2192,,Stress response protein,NO
BHE81_RS07170,15.950204676567967,6.773203605683686,1.9153215713348672,3.5363271144924027,0.0004057319662142,0.0042266250998957,BHE81_RS07170,gene_193,K99991,"ko02020,ko03410,ko00190",M2193,,Stress response protein,NO
BHE81_RS07175,10.11772648012897,6.119396602426919,1.9490056328278744,3.139753164052221,0.0016909024185727,0.0137720411273329,BHE81_RS07175,gene_194,K99991,"ko02020,ko03410,ko00190",M2194,,Stress response protein,NO
BHE81_RS28645,43.33509694807506,5.379743130744387,0.84430434676282,6.371805559655199,1.8681564218903092e-10,8.296580993637069e-09,BHE81_RS28645,gene_195,K99991,"ko02020,ko03410,ko00190",M2195,,Stress response protein,NO
BHE81_RS07190,28.620714189697956,7.605954686459964,1.8954571537612768,4.012728365485329,6.002096686066017e-05,0.0008357374890598,BHE81_RS07190,gene_196,K99991,"ko02020,ko03410,ko00190",M2196,,Stress response protein,NO
BHE81_RS07195,23.974589376301395,4.638689210607786,0.8530228535450997,5.43794247871524,5.389936833292125e-08,1.6473403136906418e-06,BHE81_RS07195,gene_197,K99991,"ko02020,ko03410,ko00190",M2197,,Stress response protein,NO
BHE81_RS07215,31.072263878754757,1.358478971434141,0.49465853411445,2.7462964403639045,0.0060272275934028,0.0376782855814626,BHE81_RS07215,gene_198,K99991,"ko02020,ko03410,ko00190",M2198,,Stress response protein,NO
BHE81_RS07220,164.1668800070736,3.662415249440246,0.4773866585028302,7.671800592262535,1.69598475502056e-14,1.5224169534961158e-12,BHE81_RS07220,gene_199,K99991,"ko02020,ko03410,ko00190",M2199,,Stress response protein,NO
BHE81_RS07280,26.66229811675437,1.3656913630254623,0.4565653850697068,2.9912284366826305,0.0027785755201815,0.0205663335432382,BHE81_RS07280,gene_202,K99991,"ko02020,ko03410,ko00190",M2202,,Stress response protein,NO
BHE81_RS07360,9.359630948318538,3.5106127948975603,1.0393365876256553,3.3777438769066026,0.0007308311602612,0.0069134005944892,BHE81_RS07360,gene_203,K99991,"ko02020,ko03410,ko00190",M2203,,Stress response protein,NO
BHE81_RS07450,17.342618631644708,3.376838918184825,0.7590786069993014,4.448602406980932,8.64308384289361e-06,0.0001519382113882,BHE81_RS07450,gene_204,K99991,"ko02020,ko03410,ko00190",M2204,,Stress response protein,NO
BHE81_RS07470,24.84118205463092,1.7214257211499555,0.6174612025408979,2.7879091254092776,0.0053049422477842,0.0343706502279756,BHE81_RS07470,gene_205,K99991,"ko02020,ko03410,ko00190",M2205,,Stress response protein,NO
BHE81_RS07585,21.793290179908155,2.593190187692233,0.5751744109048851,4.508528436813684,6.527882063712536e-06,0.0001192256901593,BHE81_RS07585,gene_206,K99991,"ko02020,ko03410,ko00190",M2206,,Stress response protein,NO
BHE81_RS07590,21.911179363692654,2.9516437656939933,0.7733017845499741,3.816936446631522,0.0001351189563412,0.0017067870562987,BHE81_RS07590,gene_207,K99991,"ko02020,ko03410,ko00190",M2207,,Stress response protein,NO
BHE81_RS07665,52.62634037706543,1.2192528578581825,0.3697748782649772,3.2972841843097767,0.0009762466849698,0.0088385939139224,BHE81_RS07665,gene_209,K99991,"ko02020,ko03410,ko00190",M2209,,Stress response protein,NO
BHE81_RS28125,26.63734295027429,4.476296766016222,0.8451193671573392,5.296644403112882,1.1795006939071752e-07,3.362373937563765e-06,BHE81_RS28125,gene_211,K99991,"ko02020,ko03410,ko00190",M2211,,Stress response protein,NO
