Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference,log2fc
BHE81_RS26335,18.409208335294583,2.251589034881595,0.6754580937528245,3.3334252053622384,0.0008578373251804,0.007867860162905,BHE81_RS26335,gene_0011,K20011,ko02020,M2011,,stress response regulator,NO,2.251589034881595
BHE81_RS26590,13.23876321619867,2.585773899810076,0.8253401930308321,3.1329794933584187,0.0017304153140436,0.0139324851334926,BHE81_RS26590,gene_0012,K20012,ko00190,M2012,,stress response regulator,NO,2.585773899810076
BHE81_RS26665,154.31088609966048,-1.570164314203731,0.3310707151361007,-4.742685602857528,2.109034504155456e-06,4.4490082865159344e-05,BHE81_RS26665,gene_0013,K20013,ko01230,M2013,,metabolic enzyme,NO,-1.570164314203731
BHE81_RS26685,15.281995005484184,2.0991059839574806,0.6421842243774036,3.268697523662403,0.0010804373517457,0.0096371357019351,BHE81_RS26685,gene_0014,K20014,ko02020,M2014,,oxidative stress protein,NO,2.0991059839574806
BHE81_RS26815,17.100002779575064,2.224207063807908,0.6812111298933725,3.265077398480049,0.0010943416910616,0.0097405645455465,BHE81_RS26815,gene_0015,K20015,ko00190,M2015,,DNA repair enzyme,NO,2.224207063807908
BHE81_RS26880,5.014922202807186,-4.27886664399761,1.4918425086159388,-2.8681758424804107,0.004128460103718,0.0282601053454399,BHE81_RS26880,gene_0016,K20016,ko01200,M2016,,metabolic enzyme,NO,-4.27886664399761
BHE81_RS26885,52.5869578872756,-1.1328963501930551,0.3838213627883359,-2.9516240106150846,0.003161075842931,0.0228366078447365,BHE81_RS26885,gene_0017,K20017,ko02010,M2017,,membrane transporter,NO,-1.1328963501930551
BHE81_RS27330,21.83935465238784,2.5771463813186526,0.6337244703232445,4.066666985423688,4.769031621750457e-05,0.0006867080004151,BHE81_RS27330,gene_0018,K20018,ko00190,M2018,,stress response regulator,NO,2.5771463813186526
BHE81_RS27400,47.9098750174245,1.452080223830751,0.4131906244484013,3.51431067868309,0.0004408968270324,0.0045039799352295,BHE81_RS27400,gene_0019,K20019,ko00190,M2019,,stress response regulator,NO,1.452080223830751
BHE81_RS27425,32.20734323772153,-2.4977439965575434,0.5318323556218233,-4.696487474210097,2.646734578541849e-06,5.42066659556702e-05,BHE81_RS27425,gene_0020,K20020,ko01200,M2020,,catabolic enzyme,NO,-2.4977439965575434
BHE81_RS27530,299.3020621650754,-1.0184729328210596,0.3467197904353936,-2.9374525507820346,0.0033092080753771,0.0235042910269635,BHE81_RS27530,gene_0021,K20021,ko02010,M2021,,ion channel,NO,-1.0184729328210596
BHE81_RS27565,213.70367860990223,-2.5576791254612465,0.389322794085831,-6.569559153264924,5.046444445881578e-11,2.475691757810974e-09,BHE81_RS27565,gene_0022,K20022,ko00020,M2022,,catabolic enzyme,NO,-2.5576791254612465
BHE81_RS27570,1071.9344056339517,-2.5941195465427778,0.3304990184971678,-7.849099093663444,4.190364355979956e-15,4.311987126312057e-13,BHE81_RS27570,gene_0023,K20023,ko01200,M2023,,biosynthesis protein,NO,-2.5941195465427778
BHE81_RS27575,972.3292420383392,-1.7397948377145744,0.5452068163155923,-3.191073159121136,0.0014174538307846,0.0120326714528779,BHE81_RS27575,gene_0024,K20024,ko00020,M2024,,catabolic enzyme,NO,-1.7397948377145744
BHE81_RS27690,28.43466130497776,-2.134903750647442,0.503634657210457,-4.238992928866919,2.2452472966953066e-05,0.0003615533719373,BHE81_RS27690,gene_0025,K20025,ko00020,M2025,,metabolic enzyme,NO,-2.134903750647442
BHE81_RS00020,15.877885872133092,-3.3748325707804048,0.7433274102354516,-4.540169680694829,5.620897463248051e-06,0.0001031068104236,BHE81_RS00020,gene_0026,K20026,ko01230,M2026,,metabolic enzyme,NO,-3.3748325707804048
BHE81_RS00025,67.03114560286132,-3.2718865118623754,0.5516683519761845,-5.930893987559437,3.012897034926078e-09,1.1661846413168005e-07,BHE81_RS00025,gene_0027,K20027,ko01230,M2027,,metabolic enzyme,NO,-3.2718865118623754
BHE81_RS00030,43.4440475583484,-3.721724974621528,0.525233475005229,-7.085848773413529,1.3819465660980242e-12,8.833988730859946e-11,BHE81_RS00030,gene_0028,K20028,ko00020,M2028,,catabolic enzyme,NO,-3.721724974621528
BHE81_RS00060,12.48967104106231,-2.162495600450047,0.808224583607243,-2.6756122547008694,0.0074592888505632,0.0447027551996113,BHE81_RS00060,gene_0029,K20029,ko01200,M2029,,catabolic enzyme,NO,-2.162495600450047
BHE81_RS00065,18.86770532102948,-1.701120662424417,0.6061416210371613,-2.8064739384067554,0.0050086963917149,0.0327623101963492,BHE81_RS00065,gene_0030,K20030,ko01230,M2030,,metabolic enzyme,NO,-1.701120662424417
BHE81_RS00110,16.004855426572735,-3.993406387225694,0.8589344591076561,-4.649256232395693,3.331341478801393e-06,6.598558544161069e-05,BHE81_RS00110,gene_0031,K20031,ko01200,M2031,,biosynthesis protein,NO,-3.993406387225694
BHE81_RS00115,25.888260824378467,-5.063685031393205,0.6964541287637755,-7.270665535979202,3.5772064831871813e-13,2.695916567698959e-11,BHE81_RS00115,gene_0032,K20032,ko01200,M2032,,biosynthesis protein,NO,-5.063685031393205
BHE81_RS00150,298.22058799539946,1.936750422021972,0.4822903111038658,4.015735704059943,5.926063805442821e-05,0.000827882887257,BHE81_RS00150,gene_0033,K20033,ko01060,M2033,,biosynthetic enzyme,NO,1.936750422021972
BHE81_RS00155,12.573011936273758,2.830893461409694,0.8433333606592054,3.3567905569357293,0.0007885282013271,0.007343930422515,BHE81_RS00155,gene_0034,K20034,ko00190,M2034,,DNA repair enzyme,NO,2.830893461409694
BHE81_RS00160,32.46164166651745,1.2138936083152605,0.461283423265487,2.6315569714644096,0.0084994615487923,0.0494610045163514,BHE81_RS00160,gene_0035,K20035,ko02020,M2035,,DNA repair enzyme,NO,1.2138936083152605
BHE81_RS00330,7.316117567290639,-3.831255148484223,1.0641115773175105,-3.600426149053213,0.0003176960573136,0.00345453522115,BHE81_RS00330,gene_0036,K20036,ko01200,M2036,,biosynthesis protein,NO,-3.831255148484223
BHE81_RS00335,10.959677075162537,-3.2038448379810003,0.8545626238840444,-3.749104803366325,0.0001774669160473,0.0021577317544778,BHE81_RS00335,gene_0037,K20037,ko01200,M2037,,biosynthesis protein,NO,-3.2038448379810003
BHE81_RS00345,14.618466183484196,-2.2880418081150524,0.6687866480643966,-3.421183444282428,0.0006234926138495,0.0060057427804368,BHE81_RS00345,gene_0038,K20038,ko01230,M2038,,biosynthesis protein,NO,-2.2880418081150524
BHE81_RS00370,31.819195823830785,-1.7824724460178685,0.4781505300628835,-3.727847892970961,0.0001931218721514,0.0023147192574057,BHE81_RS00370,gene_0039,K20039,ko02010,M2039,,ABC transporter,NO,-1.7824724460178685
BHE81_RS00380,24.24798187257881,-2.355949526734266,0.8435383565905725,-2.7929370470556694,0.0052231855871763,0.0339024922958417,BHE81_RS00380,gene_0040,K20040,ko01200,M2040,,catabolic enzyme,NO,-2.355949526734266
BHE81_RS00410,39.31443575757464,-2.451923765515093,0.5137257483085436,-4.772826305841435,1.8165845143303105e-06,3.890441657847502e-05,BHE81_RS00410,gene_0041,K20041,ko00020,M2041,,catabolic enzyme,NO,-2.451923765515093
BHE81_RS00460,179.06704274147708,2.550437751630637,0.3692714537444273,6.906674550033846,4.961463719562942e-12,2.8287047882210876e-10,BHE81_RS00460,gene_0042,K20042,ko02020,M2042,,DNA repair enzyme,NO,2.550437751630637
BHE81_RS00465,79.97430039334773,1.5484048436580056,0.4879157187865187,3.1735088336752075,0.0015060831865793,0.0126576991318289,BHE81_RS00465,gene_0043,K20043,ko01060,M2043,,biosynthetic enzyme,NO,1.5484048436580056
BHE81_RS00595,22.85056825699448,2.529030234153048,0.7156593434710546,3.533846455335682,0.000409558930597,0.004245526113486,BHE81_RS00595,gene_0044,K20044,ko02020,M2044,,oxidative stress protein,NO,2.529030234153048
BHE81_RS00600,66.21349979323806,1.2079195428715812,0.3931552286502137,3.072373085355187,0.0021236411731218,0.0165612608306857,BHE81_RS00600,gene_0045,K20045,ko00920,M2045,,ABC transporter,NO,1.2079195428715812
BHE81_RS00625,29.527638832437564,-1.4663156280884868,0.5062578564035943,-2.896380983605959,0.0037749380135779,0.0261948412488249,BHE81_RS00625,gene_0046,K20046,ko02010,M2046,,ABC transporter,NO,-1.4663156280884868
BHE81_RS00645,14.43040404316695,-1.947072749652026,0.6347603146140269,-3.0674141165172952,0.0021591949723716,0.0168074604952692,BHE81_RS00645,gene_0047,K20047,ko00020,M2047,,catabolic enzyme,NO,-1.947072749652026
BHE81_RS00715,38.7059828968382,-1.0844109425652906,0.4020537259763274,-2.6971791890050527,0.0069929629537401,0.0426081286034272,BHE81_RS00715,gene_0048,K20048,ko00020,M2048,,biosynthesis protein,NO,-1.0844109425652906
BHE81_RS00805,12.526667709108128,3.055097742322114,0.8248607605537155,3.703773883329444,0.0002124156125719,0.0025019448347043,BHE81_RS00805,gene_0049,K20049,ko00190,M2049,,oxidative stress protein,NO,3.055097742322114
BHE81_RS00810,13.864497399085474,2.19860474750218,0.8170630094172028,2.69086315518115,0.0071267421620203,0.0431834817110034,BHE81_RS00810,gene_0050,K20050,ko02020,M2050,,oxidative stress protein,NO,2.19860474750218
BHE81_RS00910,62.42124817013248,-1.884644368801808,0.3986559113259274,-4.727496357782558,2.273051398523277e-06,4.700982279592994e-05,BHE81_RS00910,gene_0051,K20051,ko02010,M2051,,membrane transporter,NO,-1.884644368801808
BHE81_RS00935,27.48377288415112,-1.5138416625614943,0.5505240499770899,-2.74981930875589,0.0059628135409414,0.0374361760851666,BHE81_RS00935,gene_0052,K20052,ko00920,M2052,,membrane transporter,NO,-1.5138416625614943
BHE81_RS01025,112.54600645504009,-1.440846183708088,0.4205551130047488,-3.4260579390264567,0.0006124097327201,0.0059124866415249,BHE81_RS01025,gene_0053,K20053,ko01200,M2053,,catabolic enzyme,NO,-1.440846183708088
BHE81_RS01030,108.55448781858684,1.519474163593389,0.33462600187656,4.540813191659586,5.603766764713397e-06,0.0001031068104236,BHE81_RS01030,gene_0054,K20054,ko00190,M2054,,DNA repair enzyme,NO,1.519474163593389
BHE81_RS01035,91.58941109489906,1.3455612437732296,0.3852565871622766,3.4926365664098467,0.0004782769631825,0.0048273935590125,BHE81_RS01035,gene_0055,K20055,ko01060,M2055,,polymerization enzyme,NO,1.3455612437732296
BHE81_RS01160,39.40818233113864,1.1483573901572606,0.4238642820369694,2.709257276028511,0.0067434026264082,0.0415334535486369,BHE81_RS01160,gene_0056,K20056,ko02010,M2056,,membrane transporter,NO,1.1483573901572606
BHE81_RS01235,72.9189806317192,-2.3404613190036065,0.3203252757381728,-7.3065146470572335,2.741606294539856e-13,2.1420068438266014e-11,BHE81_RS01235,gene_0057,K20057,ko00020,M2057,,metabolic enzyme,NO,-2.3404613190036065
BHE81_RS01295,29.5449246703696,-1.4433551621591698,0.4399866647910786,-3.2804520628926936,0.0010364087551582,0.0092836699320862,BHE81_RS01295,gene_0058,K20058,ko00920,M2058,,ABC transporter,NO,-1.4433551621591698
BHE81_RS01300,27.0606472547874,-1.3902026928383084,0.4596899287552457,-3.024218295586151,0.0024927650085923,0.0189154236893002,BHE81_RS01300,gene_0059,K20059,ko00920,M2059,,membrane transporter,NO,-1.3902026928383084
BHE81_RS01440,86.86222231082526,2.6003784405269688,0.5168307581445108,5.031392577838562,4.869299157208589e-07,1.1720909841627005e-05,BHE81_RS01440,gene_0060,K20060,ko00190,M2060,,oxidative stress protein,NO,2.6003784405269688
BHE81_RS01470,53.92760667654027,1.1452123413015205,0.3698929044658428,3.096064637831607,0.0019610760712199,0.0154650092420131,BHE81_RS01470,gene_0061,K20061,ko02010,M2061,,ion channel,NO,1.1452123413015205
BHE81_RS01495,646.2793865728387,3.4260265723876446,0.2692807233770889,12.722880900724508,4.4128500720550864e-37,3.723562890800081e-34,BHE81_RS01495,gene_0062,K20062,ko02020,M2062,,oxidative stress protein,NO,3.4260265723876446
BHE81_RS01555,69.6227299329912,1.1439013110776508,0.4012620613314464,2.850758696902514,0.0043615054840134,0.0294890891619435,BHE81_RS01555,gene_0063,K20063,ko03410,M2063,,stress response regulator,NO,1.1439013110776508
BHE81_RS01565,224.77541366488288,1.370489170536426,0.2776040454668012,4.936848698411073,7.939501788328406e-07,1.7912704836875694e-05,BHE81_RS01565,gene_0064,K20064,ko00190,M2064,,DNA repair enzyme,NO,1.370489170536426
BHE81_RS01755,45.73775141627681,1.3994482476157453,0.4923155358664486,2.842583964271597,0.0044749442158799,0.0299679200742816,BHE81_RS01755,gene_0065,K20065,ko00920,M2065,,membrane transporter,NO,1.3994482476157453
BHE81_RS01760,54.20481622528317,4.5193850334295815,0.6286321196673613,7.189236585335474,6.515459051178504e-13,4.5063478257249347e-11,BHE81_RS01760,gene_0066,K20066,ko00190,M2066,,DNA repair enzyme,NO,4.5193850334295815
BHE81_RS01765,41.247678145746825,7.174633861233923,1.3751553670058294,5.217326007937189,1.8152460355429494e-07,4.816681147141952e-06,BHE81_RS01765,gene_0067,K20067,ko00190,M2067,,DNA repair enzyme,NO,7.174633861233923
BHE81_RS01810,30.79526333000753,-1.281456195259472,0.4625581681969891,-2.770367671280079,0.0055993047165684,0.0356849948628436,BHE81_RS01810,gene_0068,K20068,ko00020,M2068,,metabolic enzyme,NO,-1.281456195259472
BHE81_RS01945,37.44556202908168,-1.8751426010747485,0.4586398252661243,-4.088486210255952,4.341973524365251e-05,0.0006360689687255,BHE81_RS01945,gene_0069,K20069,ko01230,M2069,,biosynthesis protein,NO,-1.8751426010747485
BHE81_RS01980,41.89325328528746,-4.738645587757775,0.5513454103952345,-8.59469490162411,8.348631550127392e-18,1.1362218229028216e-15,BHE81_RS01980,gene_0070,K20070,ko01200,M2070,,metabolic enzyme,NO,-4.738645587757775
BHE81_RS02060,95.43302915632448,2.706429547025644,0.5080387296035382,5.327211075300656,9.973224291475519e-08,2.9220162003982783e-06,BHE81_RS02060,gene_0071,K20071,ko03410,M2071,,oxidative stress protein,NO,2.706429547025644
BHE81_RS02085,69.27445582194761,-1.2469258690345018,0.3950940354982543,-3.1560230147792527,0.0015993624014961,0.0132049118824117,BHE81_RS02085,gene_0072,K20072,ko02010,M2072,,ABC transporter,NO,-1.2469258690345018
BHE81_RS02090,46.02222273841816,-1.2753150643987048,0.3822696636839581,-3.336166025073527,0.0008494241980728,0.0078247176674005,BHE81_RS02090,gene_0073,K20073,ko00920,M2073,,ion channel,NO,-1.2753150643987048
BHE81_RS02095,35.502645219538444,-1.1497498657872798,0.3867472532934476,-2.9728714451008598,0.0029502799092803,0.0216097759327323,BHE81_RS02095,gene_0074,K20074,ko02010,M2074,,membrane transporter,NO,-1.1497498657872798
BHE81_RS02100,30.56729579331538,-1.3994174429737964,0.4390181253916406,-3.1876074404112584,0.0014345515106465,0.0121533590831682,BHE81_RS02100,gene_0075,K20075,ko02010,M2075,,membrane transporter,NO,-1.3994174429737964
BHE81_RS02105,86.1528043014028,-1.5996487893373188,0.4236404737387949,-3.7759583620983728,0.0001593936182721,0.0019720870248977,BHE81_RS02105,gene_0076,K20076,ko00920,M2076,,membrane transporter,NO,-1.5996487893373188
BHE81_RS02140,71.2369359334396,-1.1177523384986308,0.3329531790471439,-3.357085646989316,0.0007876870868007,0.007343930422515,BHE81_RS02140,gene_0077,K20077,ko00920,M2077,,ion channel,NO,-1.1177523384986308
BHE81_RS02180,11.426610133397128,-2.631663601998888,0.7579360476134974,-3.4721446621851144,0.0005163180305671,0.0051468453954892,BHE81_RS02180,gene_0078,K20078,ko00020,M2078,,catabolic enzyme,NO,-2.631663601998888
BHE81_RS02185,27.26873050154698,-1.713961918337788,0.6349164837651321,-2.69950767095191,0.0069442154864768,0.0424603552716603,BHE81_RS02185,gene_0079,K20079,ko01200,M2079,,biosynthesis protein,NO,-1.713961918337788
BHE81_RS02210,12.036936559181385,2.302690112183445,0.7777642835169339,2.9606529394369,0.0030698765990013,0.0223480272736824,BHE81_RS02210,gene_0080,K20080,ko00190,M2080,,oxidative stress protein,NO,2.302690112183445
BHE81_RS02230,8.788822614570428,-3.969203286492375,1.04620501472907,-3.793905812543116,0.0001482959460043,0.0018676435707238,BHE81_RS02230,gene_0081,K20081,ko00020,M2081,,metabolic enzyme,NO,-3.969203286492375
BHE81_RS02245,27.492776852948094,-1.2482127303361057,0.4692405563163598,-2.6600700078758037,0.0078124410992909,0.0466204936321197,BHE81_RS02245,gene_0082,K20082,ko00920,M2082,,ABC transporter,NO,-1.2482127303361057
BHE81_RS02255,43.01352067915764,-1.3339067196718153,0.4578574354784926,-2.9133669485519893,0.0035755416985162,0.0250169327131675,BHE81_RS02255,gene_0083,K20083,ko00920,M2083,,membrane transporter,NO,-1.3339067196718153
BHE81_RS02425,19.43603791115058,2.0738483416189086,0.5816212663946421,3.5656336200949017,0.0003629781664816,0.0038671840514803,BHE81_RS02425,gene_0084,K20084,ko00190,M2084,,oxidative stress protein,NO,2.0738483416189086
BHE81_RS02455,13.911420313030618,2.607663779045428,0.8575473134510961,3.0408395410291686,0.0023591952104886,0.0181632200603131,BHE81_RS02455,gene_0085,K20085,ko00190,M2085,,oxidative stress protein,NO,2.607663779045428
BHE81_RS02510,8.121180219496217,5.783050838815717,1.9746824539646683,2.928597875169649,0.0034049461382334,0.0240225213331219,BHE81_RS02510,gene_0086,K20086,ko02020,M2086,,stress response regulator,NO,5.783050838815717
BHE81_RS02640,193.29990568373364,4.658350923126887,0.4414448346302257,10.552509753634183,4.945802573362723e-26,1.7388617547514438e-23,BHE81_RS02640,gene_0087,K20087,ko03410,M2087,,oxidative stress protein,NO,4.658350923126887
BHE81_RS02645,9.460914685357206,2.910578902299567,0.976083130759745,2.9818965317370933,0.0028646879782943,0.0210193366616065,BHE81_RS02645,gene_0088,K20088,ko02020,M2088,,DNA repair enzyme,NO,2.910578902299567
BHE81_RS02695,35.70801875853379,3.468907081718191,0.5728065760334887,6.055983340378732,1.3956244653741544e-09,5.661672710974576e-08,BHE81_RS02695,gene_0089,K20089,ko02020,M2089,,stress response regulator,NO,3.468907081718191
BHE81_RS02700,30.41414522516114,2.862101155288041,0.7728922278387128,3.7031051059880817,0.0002129765914754,0.0025019448347043,BHE81_RS02700,gene_0090,K20090,ko02020,M2090,,oxidative stress protein,NO,2.862101155288041
BHE81_RS02710,52.0036871029684,2.376271553038944,0.5641452220676255,4.212162861771244,2.5293706523208648e-05,0.0003996784562599,BHE81_RS02710,gene_0091,K20091,ko00190,M2091,,stress response regulator,NO,2.376271553038944
BHE81_RS02740,40.337501242132525,2.398205805193683,0.5252182347722975,4.566112991551785,4.968510259825152e-06,9.316508793867696e-05,BHE81_RS02740,gene_0092,K20092,ko00190,M2092,,DNA repair enzyme,NO,2.398205805193683
BHE81_RS02745,41.70634817209983,1.580702119808702,0.4820294960782065,3.2792643036770563,0.0010407810944312,0.0093030835538249,BHE81_RS02745,gene_0093,K20093,ko02020,M2093,,stress response regulator,NO,1.580702119808702
BHE81_RS02750,8.518218098721304,2.449749065756311,0.881932007797455,2.777707401587948,0.0054743890393756,0.0350950562771954,BHE81_RS02750,gene_0094,K20094,ko03410,M2094,,oxidative stress protein,NO,2.449749065756311
BHE81_RS02770,11.618303235463353,-2.430470558461627,0.6565654328970634,-3.701794880880787,0.0002140796599498,0.0025019448347043,BHE81_RS02770,gene_0095,K20095,ko01200,M2095,,catabolic enzyme,NO,-2.430470558461627
BHE81_RS02800,115.3722239586268,2.324635262816384,0.3089464286344219,7.524395970821005,5.2964603762895296e-14,4.4691532655131036e-12,BHE81_RS02800,gene_0096,K20096,ko00190,M2096,,DNA repair enzyme,NO,2.324635262816384
BHE81_RS02845,34.40735719219794,2.433415106169765,0.6312859304411329,3.854695612286705,0.0001158737050928,0.0014996047907568,BHE81_RS02845,gene_0097,K20097,ko02020,M2097,,oxidative stress protein,NO,2.433415106169765
BHE81_RS02850,39.65339741036605,1.202975193602366,0.4064712717644292,2.9595577281032326,0.0030808097534393,0.0223716632525999,BHE81_RS02850,gene_0098,K20098,ko02020,M2098,,stress response regulator,NO,1.202975193602366
BHE81_RS02965,6.513562186618425,4.474093530065512,1.5238830250711153,2.935982261405346,0.0033249333503339,0.0235762921093429,BHE81_RS02965,gene_0099,K20099,ko03410,M2099,,DNA repair enzyme,NO,4.474093530065512
BHE81_RS02985,75.78291763943203,1.3328243766768917,0.3609082299799586,3.6929730772581824,0.0002216474963164,0.0025620021560522,BHE81_RS02985,gene_0100,K20100,ko01060,M2100,,polymerization enzyme,NO,1.3328243766768917
BHE81_RS03145,466.1284455242797,1.038194922682513,0.2625704957666802,3.9539664182416416,7.686620266700777e-05,0.0010295190763558,BHE81_RS03145,gene_0101,K20101,ko00190,M2101,,stress response regulator,NO,1.038194922682513
BHE81_RS03180,31.644820508594343,2.2546819743771005,0.5695050662388987,3.9590200474727566,7.525792020808217e-05,0.0010176704017881,BHE81_RS03180,gene_0102,K20102,ko03410,M2102,,stress response regulator,NO,2.2546819743771005
BHE81_RS03205,9.144508458864616,2.5476965161608933,0.8654346624796472,2.943834614690868,0.0032417317969002,0.0231755391908881,BHE81_RS03205,gene_0103,K20103,ko03410,M2103,,stress response regulator,NO,2.5476965161608933
BHE81_RS03235,126.86823709879336,1.163238938256947,0.3883510376668365,2.9953285183568408,0.0027414940134782,0.0203633155684235,BHE81_RS03235,gene_0104,K20104,ko02010,M2104,,membrane transporter,NO,1.163238938256947
BHE81_RS03255,7.553359260311506,2.8851568418913884,1.049986141224634,2.747804688666017,0.0059995736024054,0.0376109970706514,BHE81_RS03255,gene_0105,K20105,ko02020,M2105,,stress response regulator,NO,2.8851568418913884
BHE81_RS03290,18.70080533117693,-1.9884818651102223,0.6985178185556388,-2.846716021105816,0.004417274770696,0.0297707384306173,BHE81_RS03290,gene_0106,K20106,ko01230,M2106,,biosynthesis protein,NO,-1.9884818651102223
BHE81_RS03295,30.55162101417872,-1.942342027923488,0.4342868618954669,-4.472486271967885,7.731536518599424e-06,0.0001382175956439,BHE81_RS03295,gene_0107,K20107,ko02010,M2107,,ion channel,NO,-1.942342027923488
BHE81_RS03380,131.68217873371978,1.0131701837717604,0.3615557918967553,2.8022512886782303,0.0050747328521879,0.0331428760114256,BHE81_RS03380,gene_0108,K20108,ko02020,M2108,,stress response regulator,NO,1.0131701837717604
BHE81_RS03425,53.09434895568577,1.3781151653303367,0.3991407704172027,3.4527045781112733,0.0005549964553191,0.0054327843271265,BHE81_RS03425,gene_0109,K20109,ko00520,M2109,,biosynthetic enzyme,NO,1.3781151653303367
BHE81_RS03495,58.683454301113976,-1.202925163740105,0.3868170644239604,-3.1098037661070483,0.0018721167414456,0.0148746902677194,BHE81_RS03495,gene_0110,K20110,ko02010,M2110,,membrane transporter,NO,-1.202925163740105
BHE81_RS03530,41.46119669477362,1.2768223292799088,0.4745638353075816,2.6905175537709383,0.0071341281707915,0.0431834817110034,BHE81_RS03530,gene_0111,K20111,ko00920,M2111,,membrane transporter,NO,1.2768223292799088
BHE81_RS03535,82.35477993920117,1.2691766883530349,0.3698830678873479,3.431291666315412,0.0006007143461947,0.0058128757490728,BHE81_RS03535,gene_0112,K20112,ko02020,M2112,,DNA repair enzyme,NO,1.2691766883530349
BHE81_RS03575,156.25740893788762,-1.2115590948169437,0.264628524665584,-4.578338999350176,4.686826966465411e-06,8.867140345972005e-05,BHE81_RS03575,gene_0113,K20113,ko01230,M2113,,metabolic enzyme,NO,-1.2115590948169437
BHE81_RS03615,36.67545916781635,-4.208932216248803,0.6549210781989943,-6.426625064233986,1.3046808755701464e-10,6.048844630802691e-09,BHE81_RS03615,gene_0114,K20114,ko01200,M2114,,biosynthesis protein,NO,-4.208932216248803
BHE81_RS03660,309.5289429489161,1.0281043411456527,0.3512815729379626,2.926724372551188,0.0034255231587125,0.0241273492597802,BHE81_RS03660,gene_0115,K20115,ko01060,M2115,,polymerization enzyme,NO,1.0281043411456527
BHE81_RS03690,90.52436132403136,-2.517183810581934,0.5681843061932343,-4.4302241071154524,9.41352097504004e-06,0.0001641142355111,BHE81_RS03690,gene_0116,K20116,ko01230,M2116,,metabolic enzyme,NO,-2.517183810581934
BHE81_RS03725,72.2709317762432,3.977511939619625,1.4648788744232848,2.715249710448279,0.0066225814375582,0.0409687259311705,BHE81_RS03725,gene_0117,K20117,ko00190,M2117,,oxidative stress protein,NO,3.977511939619625
BHE81_RS03730,83.3415859326587,3.435050428419602,0.5881094888413162,5.840834901656294,5.193985857057099e-09,1.872942421446488e-07,BHE81_RS03730,gene_0118,K20118,ko00190,M2118,,DNA repair enzyme,NO,3.435050428419602
BHE81_RS03735,43.29723490832547,3.8117055653764,0.5676805948335247,6.714525034089287,1.886797844922675e-11,9.607814023475403e-10,BHE81_RS03735,gene_0119,K20119,ko00190,M2119,,DNA repair enzyme,NO,3.8117055653764
