gene_id,gene_name,kegg_orthology,kegg_pathway,kegg_module,kegg_enzyme,kegg_description,paper_reference
BHE81_RS00370,gene_39,K99992,"ko02010,ko01200",M2039,,Metabolic protein,NO
BHE81_RS00380,gene_40,K99992,"ko02010,ko01200",M2040,,Metabolic protein,NO
BHE81_RS00410,gene_41,K99992,"ko02010,ko01200",M2041,,Metabolic protein,NO
BHE81_RS00460,gene_42,K99991,"ko02020,ko03410,ko00190",M2042,,Stress response protein,NO
BHE81_RS00465,gene_43,K99991,"ko02020,ko03410,ko00190",M2043,,Stress response protein,NO
BHE81_RS00595,gene_44,K99991,"ko02020,ko03410,ko00190",M2044,,Stress response protein,NO
BHE81_RS00600,gene_45,K99991,"ko02020,ko03410,ko00190",M2045,,Stress response protein,NO
BHE81_RS00625,gene_46,K99992,"ko02010,ko01200",M2046,,Metabolic protein,NO
BHE81_RS00645,gene_47,K99992,"ko02010,ko01200",M2047,,Metabolic protein,NO
BHE81_RS00715,gene_48,K99992,"ko02010,ko01200",M2048,,Metabolic protein,NO
BHE81_RS00805,gene_49,K99991,"ko02020,ko03410,ko00190",M2049,,Stress response protein,NO
BHE81_RS00810,gene_50,K99991,"ko02020,ko03410,ko00190",M2050,,Stress response protein,NO
BHE81_RS00910,gene_51,K99992,"ko02010,ko01200",M2051,,Metabolic protein,NO
BHE81_RS00935,gene_52,K99992,"ko02010,ko01200",M2052,,Metabolic protein,NO
BHE81_RS01025,gene_53,K99992,"ko02010,ko01200",M2053,,Metabolic protein,NO
BHE81_RS01030,gene_54,K99991,"ko02020,ko03410,ko00190",M2054,,Stress response protein,NO
BHE81_RS01035,gene_55,K99991,"ko02020,ko03410,ko00190",M2055,,Stress response protein,NO
BHE81_RS01160,gene_56,K99991,"ko02020,ko03410,ko00190",M2056,,Stress response protein,NO
BHE81_RS01235,gene_57,K99992,"ko02010,ko01200",M2057,,Metabolic protein,NO
BHE81_RS01295,gene_58,K99992,"ko02010,ko01200",M2058,,Metabolic protein,NO
BHE81_RS01300,gene_59,K99992,"ko02010,ko01200",M2059,,Metabolic protein,NO
BHE81_RS01440,gene_60,K99991,"ko02020,ko03410,ko00190",M2060,,Stress response protein,NO
BHE81_RS01470,gene_61,K99991,"ko02020,ko03410,ko00190",M2061,,Stress response protein,NO
BHE81_RS01495,gene_62,K99991,"ko02020,ko03410,ko00190",M2062,,Stress response protein,NO
BHE81_RS01555,gene_63,K99991,"ko02020,ko03410,ko00190",M2063,,Stress response protein,NO
BHE81_RS01565,gene_64,K99991,"ko02020,ko03410,ko00190",M2064,,Stress response protein,NO
BHE81_RS01755,gene_65,K99991,"ko02020,ko03410,ko00190",M2065,,Stress response protein,NO
BHE81_RS01760,gene_66,K99991,"ko02020,ko03410,ko00190",M2066,,Stress response protein,NO
BHE81_RS01765,gene_67,K99991,"ko02020,ko03410,ko00190",M2067,,Stress response protein,NO
BHE81_RS01810,gene_68,K99992,"ko02010,ko01200",M2068,,Metabolic protein,NO
BHE81_RS01945,gene_69,K99992,"ko02010,ko01200",M2069,,Metabolic protein,NO
BHE81_RS01980,gene_70,K99992,"ko02010,ko01200",M2070,,Metabolic protein,NO
BHE81_RS02060,gene_71,K99991,"ko02020,ko03410,ko00190",M2071,,Stress response protein,NO
BHE81_RS02085,gene_72,K99992,"ko02010,ko01200",M2072,,Metabolic protein,NO
BHE81_RS02090,gene_73,K99992,"ko02010,ko01200",M2073,,Metabolic protein,NO
BHE81_RS02095,gene_74,K99992,"ko02010,ko01200",M2074,,Metabolic protein,NO
BHE81_RS02100,gene_75,K99992,"ko02010,ko01200",M2075,,Metabolic protein,NO
BHE81_RS02105,gene_76,K99992,"ko02010,ko01200",M2076,,Metabolic protein,NO
BHE81_RS02140,gene_77,K99992,"ko02010,ko01200",M2077,,Metabolic protein,NO
BHE81_RS02180,gene_78,K99992,"ko02010,ko01200",M2078,,Metabolic protein,NO
BHE81_RS02185,gene_79,K99992,"ko02010,ko01200",M2079,,Metabolic protein,NO
BHE81_RS02210,gene_80,K99991,"ko02020,ko03410,ko00190",M2080,,Stress response protein,NO
BHE81_RS02230,gene_81,K99992,"ko02010,ko01200",M2081,,Metabolic protein,NO
BHE81_RS02245,gene_82,K99992,"ko02010,ko01200",M2082,,Metabolic protein,NO
BHE81_RS02255,gene_83,K99992,"ko02010,ko01200",M2083,,Metabolic protein,NO
BHE81_RS02425,gene_84,K99991,"ko02020,ko03410,ko00190",M2084,,Stress response protein,NO
BHE81_RS02455,gene_85,K99991,"ko02020,ko03410,ko00190",M2085,,Stress response protein,NO
BHE81_RS02510,gene_86,K99991,"ko02020,ko03410,ko00190",M2086,,Stress response protein,NO
BHE81_RS02640,gene_87,K99991,"ko02020,ko03410,ko00190",M2087,,Stress response protein,NO
BHE81_RS02645,gene_88,K99991,"ko02020,ko03410,ko00190",M2088,,Stress response protein,NO
BHE81_RS02695,gene_89,K99991,"ko02020,ko03410,ko00190",M2089,,Stress response protein,NO
BHE81_RS02700,gene_90,K99991,"ko02020,ko03410,ko00190",M2090,,Stress response protein,NO
BHE81_RS02710,gene_91,K99991,"ko02020,ko03410,ko00190",M2091,,Stress response protein,NO
BHE81_RS02740,gene_92,K99991,"ko02020,ko03410,ko00190",M2092,,Stress response protein,NO
BHE81_RS02745,gene_93,K99991,"ko02020,ko03410,ko00190",M2093,,Stress response protein,NO
BHE81_RS02750,gene_94,K99991,"ko02020,ko03410,ko00190",M2094,,Stress response protein,NO
BHE81_RS02770,gene_95,K99992,"ko02010,ko01200",M2095,,Metabolic protein,NO
BHE81_RS02800,gene_96,K99991,"ko02020,ko03410,ko00190",M2096,,Stress response protein,NO
BHE81_RS02845,gene_97,K99991,"ko02020,ko03410,ko00190",M2097,,Stress response protein,NO
BHE81_RS02850,gene_98,K99991,"ko02020,ko03410,ko00190",M2098,,Stress response protein,NO
BHE81_RS02965,gene_99,K99991,"ko02020,ko03410,ko00190",M2099,,Stress response protein,NO
BHE81_RS02985,gene_100,K99991,"ko02020,ko03410,ko00190",M2100,,Stress response protein,NO
BHE81_RS03145,gene_101,K99991,"ko02020,ko03410,ko00190",M2101,,Stress response protein,NO
BHE81_RS03180,gene_102,K99991,"ko02020,ko03410,ko00190",M2102,,Stress response protein,NO
BHE81_RS03205,gene_103,K99991,"ko02020,ko03410,ko00190",M2103,,Stress response protein,NO
BHE81_RS03235,gene_104,K99991,"ko02020,ko03410,ko00190",M2104,,Stress response protein,NO
BHE81_RS03255,gene_105,K99991,"ko02020,ko03410,ko00190",M2105,,Stress response protein,NO
BHE81_RS03290,gene_106,K99992,"ko02010,ko01200",M2106,,Metabolic protein,NO
BHE81_RS03295,gene_107,K99992,"ko02010,ko01200",M2107,,Metabolic protein,NO
BHE81_RS03380,gene_108,K99991,"ko02020,ko03410,ko00190",M2108,,Stress response protein,NO
BHE81_RS03425,gene_109,K99991,"ko02020,ko03410,ko00190",M2109,,Stress response protein,NO
BHE81_RS03495,gene_110,K99992,"ko02010,ko01200",M2110,,Metabolic protein,NO
BHE81_RS03530,gene_111,K99991,"ko02020,ko03410,ko00190",M2111,,Stress response protein,NO
BHE81_RS03535,gene_112,K99991,"ko02020,ko03410,ko00190",M2112,,Stress response protein,NO
BHE81_RS03575,gene_113,K99992,"ko02010,ko01200",M2113,,Metabolic protein,NO
BHE81_RS03615,gene_114,K99992,"ko02010,ko01200",M2114,,Metabolic protein,NO
BHE81_RS03660,gene_115,K99991,"ko02020,ko03410,ko00190",M2115,,Stress response protein,NO
BHE81_RS03690,gene_116,K99992,"ko02010,ko01200",M2116,,Metabolic protein,NO
BHE81_RS03725,gene_117,K99991,"ko02020,ko03410,ko00190",M2117,,Stress response protein,NO
BHE81_RS03730,gene_118,K99991,"ko02020,ko03410,ko00190",M2118,,Stress response protein,NO
BHE81_RS03735,gene_119,K99991,"ko02020,ko03410,ko00190",M2119,,Stress response protein,NO
BHE81_RS03795,gene_120,K99991,"ko02020,ko03410,ko00190",M2120,,Stress response protein,NO
BHE81_RS03800,gene_121,K99991,"ko02020,ko03410,ko00190",M2121,,Stress response protein,NO
BHE81_RS03825,gene_122,K99992,"ko02010,ko01200",M2122,,Metabolic protein,NO
BHE81_RS03855,gene_123,K99992,"ko02010,ko01200",M2123,,Metabolic protein,NO
BHE81_RS03860,gene_124,K99992,"ko02010,ko01200",M2124,,Metabolic protein,NO
BHE81_RS03900,gene_125,K99991,"ko02020,ko03410,ko00190",M2125,,Stress response protein,NO
BHE81_RS03905,gene_126,K99991,"ko02020,ko03410,ko00190",M2126,,Stress response protein,NO
BHE81_RS03910,gene_127,K99991,"ko02020,ko03410,ko00190",M2127,,Stress response protein,NO
BHE81_RS03915,gene_128,K99991,"ko02020,ko03410,ko00190",M2128,,Stress response protein,NO
BHE81_RS03920,gene_129,K99991,"ko02020,ko03410,ko00190",M2129,,Stress response protein,NO
BHE81_RS03925,gene_130,K99991,"ko02020,ko03410,ko00190",M2130,,Stress response protein,NO
BHE81_RS03930,gene_131,K99991,"ko02020,ko03410,ko00190",M2131,,Stress response protein,NO
BHE81_RS03985,gene_132,K99992,"ko02010,ko01200",M2132,,Metabolic protein,NO
BHE81_RS04035,gene_133,K99992,"ko02010,ko01200",M2133,,Metabolic protein,NO
BHE81_RS04040,gene_134,K99992,"ko02010,ko01200",M2134,,Metabolic protein,NO
BHE81_RS04155,gene_135,K99992,"ko02010,ko01200",M2135,,Metabolic protein,NO
BHE81_RS04195,gene_136,K99991,"ko02020,ko03410,ko00190",M2136,,Stress response protein,NO
BHE81_RS04320,gene_137,K99992,"ko02010,ko01200",M2137,,Metabolic protein,NO
BHE81_RS04580,gene_138,K99991,"ko02020,ko03410,ko00190",M2138,,Stress response protein,NO
BHE81_RS04585,gene_139,K99991,"ko02020,ko03410,ko00190",M2139,,Stress response protein,NO
BHE81_RS04635,gene_140,K99992,"ko02010,ko01200",M2140,,Metabolic protein,NO
BHE81_RS04900,gene_141,K99991,"ko02020,ko03410,ko00190",M2141,,Stress response protein,NO
BHE81_RS04905,gene_142,K99991,"ko02020,ko03410,ko00190",M2142,,Stress response protein,NO
BHE81_RS04910,gene_143,K99991,"ko02020,ko03410,ko00190",M2143,,Stress response protein,NO
BHE81_RS04915,gene_144,K99991,"ko02020,ko03410,ko00190",M2144,,Stress response protein,NO
BHE81_RS04920,gene_145,K99991,"ko02020,ko03410,ko00190",M2145,,Stress response protein,NO
BHE81_RS04925,gene_146,K99991,"ko02020,ko03410,ko00190",M2146,,Stress response protein,NO
BHE81_RS04965,gene_147,K99992,"ko02010,ko01200",M2147,,Metabolic protein,NO
BHE81_RS04980,gene_148,K99992,"ko02010,ko01200",M2148,,Metabolic protein,NO
BHE81_RS05085,gene_149,K99991,"ko02020,ko03410,ko00190",M2149,,Stress response protein,NO
BHE81_RS05140,gene_150,K99992,"ko02010,ko01200",M2150,,Metabolic protein,NO
BHE81_RS05145,gene_151,K99992,"ko02010,ko01200",M2151,,Metabolic protein,NO
BHE81_RS05155,gene_152,K99992,"ko02010,ko01200",M2152,,Metabolic protein,NO
BHE81_RS05215,gene_153,K99991,"ko02020,ko03410,ko00190",M2153,,Stress response protein,NO
BHE81_RS05275,gene_154,K99992,"ko02010,ko01200",M2154,,Metabolic protein,NO
BHE81_RS05380,gene_155,K99992,"ko02010,ko01200",M2155,,Metabolic protein,NO
BHE81_RS05385,gene_156,K99992,"ko02010,ko01200",M2156,,Metabolic protein,NO
BHE81_RS05395,gene_157,K99992,"ko02010,ko01200",M2157,,Metabolic protein,NO
BHE81_RS05400,gene_158,K99992,"ko02010,ko01200",M2158,,Metabolic protein,NO
BHE81_RS05405,gene_159,K99992,"ko02010,ko01200",M2159,,Metabolic protein,NO
BHE81_RS05595,gene_160,K99992,"ko02010,ko01200",M2160,,Metabolic protein,NO
BHE81_RS05600,gene_161,K99991,"ko02020,ko03410,ko00190",M2161,,Stress response protein,NO
BHE81_RS05690,gene_162,K99992,"ko02010,ko01200",M2162,,Metabolic protein,NO
BHE81_RS05705,gene_163,K99992,"ko02010,ko01200",M2163,,Metabolic protein,NO
BHE81_RS05710,gene_164,K99992,"ko02010,ko01200",M2164,,Metabolic protein,NO
BHE81_RS05835,gene_165,K99991,"ko02020,ko03410,ko00190",M2165,,Stress response protein,NO
BHE81_RS05840,gene_166,K99991,"ko02020,ko03410,ko00190",M2166,,Stress response protein,NO
BHE81_RS05845,gene_167,K99991,"ko02020,ko03410,ko00190",M2167,,Stress response protein,NO
BHE81_RS05860,gene_168,K99991,"ko02020,ko03410,ko00190",M2168,,Stress response protein,NO
BHE81_RS05865,gene_169,K99991,"ko02020,ko03410,ko00190",M2169,,Stress response protein,NO
BHE81_RS05975,gene_170,K99991,"ko02020,ko03410,ko00190",M2170,,Stress response protein,NO
BHE81_RS05990,gene_171,K99991,"ko02020,ko03410,ko00190",M2171,,Stress response protein,NO
BHE81_RS06175,gene_172,K99992,"ko02010,ko01200",M2172,,Metabolic protein,NO
BHE81_RS06380,gene_173,K99992,"ko02010,ko01200",M2173,,Metabolic protein,NO
BHE81_RS06385,gene_174,K99992,"ko02010,ko01200",M2174,,Metabolic protein,NO
BHE81_RS06665,gene_175,K99991,"ko02020,ko03410,ko00190",M2175,,Stress response protein,NO
BHE81_RS06715,gene_176,K99991,"ko02020,ko03410,ko00190",M2176,,Stress response protein,NO
BHE81_RS06735,gene_177,K99991,"ko02020,ko03410,ko00190",M2177,,Stress response protein,NO
BHE81_RS06760,gene_178,K99992,"ko02010,ko01200",M2178,,Metabolic protein,NO
BHE81_RS06905,gene_179,K99991,"ko02020,ko03410,ko00190",M2179,,Stress response protein,NO
BHE81_RS06945,gene_180,K99991,"ko02020,ko03410,ko00190",M2180,,Stress response protein,NO
BHE81_RS06950,gene_181,K99991,"ko02020,ko03410,ko00190",M2181,,Stress response protein,NO
BHE81_RS06955,gene_182,K99991,"ko02020,ko03410,ko00190",M2182,,Stress response protein,NO
BHE81_RS06960,gene_183,K99991,"ko02020,ko03410,ko00190",M2183,,Stress response protein,NO
BHE81_RS06965,gene_184,K99991,"ko02020,ko03410,ko00190",M2184,,Stress response protein,NO
BHE81_RS06970,gene_185,K99991,"ko02020,ko03410,ko00190",M2185,,Stress response protein,NO
BHE81_RS06975,gene_186,K99991,"ko02020,ko03410,ko00190",M2186,,Stress response protein,NO
BHE81_RS06985,gene_187,K99991,"ko02020,ko03410,ko00190",M2187,,Stress response protein,NO
BHE81_RS07000,gene_188,K99992,"ko02010,ko01200",M2188,,Metabolic protein,NO
BHE81_RS07005,gene_189,K99992,"ko02010,ko01200",M2189,,Metabolic protein,NO
BHE81_RS07010,gene_190,K99992,"ko02010,ko01200",M2190,,Metabolic protein,NO
BHE81_RS07160,gene_191,K99991,"ko02020,ko03410,ko00190",M2191,,Stress response protein,NO
BHE81_RS07165,gene_192,K99991,"ko02020,ko03410,ko00190",M2192,,Stress response protein,NO
BHE81_RS07170,gene_193,K99991,"ko02020,ko03410,ko00190",M2193,,Stress response protein,NO
BHE81_RS07175,gene_194,K99991,"ko02020,ko03410,ko00190",M2194,,Stress response protein,NO
BHE81_RS28645,gene_195,K99991,"ko02020,ko03410,ko00190",M2195,,Stress response protein,NO
BHE81_RS07190,gene_196,K99991,"ko02020,ko03410,ko00190",M2196,,Stress response protein,NO
BHE81_RS07195,gene_197,K99991,"ko02020,ko03410,ko00190",M2197,,Stress response protein,NO
BHE81_RS07215,gene_198,K99991,"ko02020,ko03410,ko00190",M2198,,Stress response protein,NO
BHE81_RS07220,gene_199,K99991,"ko02020,ko03410,ko00190",M2199,,Stress response protein,NO
BHE81_RS07230,gene_200,K99992,"ko02010,ko01200",M2200,,Metabolic protein,NO
BHE81_RS07235,gene_201,K99992,"ko02010,ko01200",M2201,,Metabolic protein,NO
BHE81_RS07280,gene_202,K99991,"ko02020,ko03410,ko00190",M2202,,Stress response protein,NO
BHE81_RS07360,gene_203,K99991,"ko02020,ko03410,ko00190",M2203,,Stress response protein,NO
BHE81_RS07450,gene_204,K99991,"ko02020,ko03410,ko00190",M2204,,Stress response protein,NO
BHE81_RS07470,gene_205,K99991,"ko02020,ko03410,ko00190",M2205,,Stress response protein,NO
BHE81_RS07585,gene_206,K99991,"ko02020,ko03410,ko00190",M2206,,Stress response protein,NO
BHE81_RS07590,gene_207,K99991,"ko02020,ko03410,ko00190",M2207,,Stress response protein,NO
BHE81_RS07605,gene_208,K99992,"ko02010,ko01200",M2208,,Metabolic protein,NO
BHE81_RS07665,gene_209,K99991,"ko02020,ko03410,ko00190",M2209,,Stress response protein,NO
BHE81_RS07680,gene_210,K99992,"ko02010,ko01200",M2210,,Metabolic protein,NO
BHE81_RS28125,gene_211,K99991,"ko02020,ko03410,ko00190",M2211,,Stress response protein,NO
BHE81_RS07830,gene_212,K99991,"ko02020,ko03410,ko00190",M2212,,Stress response protein,NO
BHE81_RS07855,gene_213,K99991,"ko02020,ko03410,ko00190",M2213,,Stress response protein,NO
BHE81_RS07990,gene_214,K99991,"ko02020,ko03410,ko00190",M2214,,Stress response protein,NO
BHE81_RS08205,gene_215,K99992,"ko02010,ko01200",M2215,,Metabolic protein,NO
BHE81_RS08215,gene_216,K99992,"ko02010,ko01200",M2216,,Metabolic protein,NO
BHE81_RS08275,gene_217,K99991,"ko02020,ko03410,ko00190",M2217,,Stress response protein,NO
BHE81_RS08285,gene_218,K99991,"ko02020,ko03410,ko00190",M2218,,Stress response protein,NO
BHE81_RS08290,gene_219,K99991,"ko02020,ko03410,ko00190",M2219,,Stress response protein,NO
BHE81_RS08305,gene_220,K99991,"ko02020,ko03410,ko00190",M2220,,Stress response protein,NO
BHE81_RS08355,gene_221,K99991,"ko02020,ko03410,ko00190",M2221,,Stress response protein,NO
BHE81_RS08360,gene_222,K99991,"ko02020,ko03410,ko00190",M2222,,Stress response protein,NO
BHE81_RS08410,gene_223,K99992,"ko02010,ko01200",M2223,,Metabolic protein,NO
BHE81_RS08425,gene_224,K99991,"ko02020,ko03410,ko00190",M2224,,Stress response protein,NO
BHE81_RS08430,gene_225,K99991,"ko02020,ko03410,ko00190",M2225,,Stress response protein,NO
BHE81_RS08440,gene_226,K99991,"ko02020,ko03410,ko00190",M2226,,Stress response protein,NO
BHE81_RS08490,gene_227,K99991,"ko02020,ko03410,ko00190",M2227,,Stress response protein,NO
BHE81_RS08495,gene_228,K99991,"ko02020,ko03410,ko00190",M2228,,Stress response protein,NO
BHE81_RS08530,gene_229,K99991,"ko02020,ko03410,ko00190",M2229,,Stress response protein,NO
BHE81_RS08670,gene_230,K99991,"ko02020,ko03410,ko00190",M2230,,Stress response protein,NO
BHE81_RS08690,gene_231,K99992,"ko02010,ko01200",M2231,,Metabolic protein,NO
BHE81_RS08780,gene_232,K99991,"ko02020,ko03410,ko00190",M2232,,Stress response protein,NO
BHE81_RS08790,gene_233,K99991,"ko02020,ko03410,ko00190",M2233,,Stress response protein,NO
BHE81_RS08795,gene_234,K99991,"ko02020,ko03410,ko00190",M2234,,Stress response protein,NO
BHE81_RS08825,gene_235,K99992,"ko02010,ko01200",M2235,,Metabolic protein,NO
BHE81_RS08830,gene_236,K99992,"ko02010,ko01200",M2236,,Metabolic protein,NO
BHE81_RS08835,gene_237,K99992,"ko02010,ko01200",M2237,,Metabolic protein,NO
BHE81_RS08840,gene_238,K99992,"ko02010,ko01200",M2238,,Metabolic protein,NO
BHE81_RS08845,gene_239,K99992,"ko02010,ko01200",M2239,,Metabolic protein,NO
BHE81_RS08850,gene_240,K99992,"ko02010,ko01200",M2240,,Metabolic protein,NO
BHE81_RS08855,gene_241,K99992,"ko02010,ko01200",M2241,,Metabolic protein,NO
BHE81_RS08860,gene_242,K99992,"ko02010,ko01200",M2242,,Metabolic protein,NO
BHE81_RS08910,gene_243,K99991,"ko02020,ko03410,ko00190",M2243,,Stress response protein,NO
BHE81_RS08920,gene_244,K99991,"ko02020,ko03410,ko00190",M2244,,Stress response protein,NO
BHE81_RS08980,gene_245,K99992,"ko02010,ko01200",M2245,,Metabolic protein,NO
BHE81_RS09000,gene_246,K99991,"ko02020,ko03410,ko00190",M2246,,Stress response protein,NO
BHE81_RS09090,gene_247,K99991,"ko02020,ko03410,ko00190",M2247,,Stress response protein,NO
BHE81_RS09170,gene_248,K99992,"ko02010,ko01200",M2248,,Metabolic protein,NO
BHE81_RS09210,gene_249,K99991,"ko02020,ko03410,ko00190",M2249,,Stress response protein,NO
BHE81_RS09245,gene_250,K99991,"ko02020,ko03410,ko00190",M2250,,Stress response protein,NO
BHE81_RS09265,gene_251,K99991,"ko02020,ko03410,ko00190",M2251,,Stress response protein,NO
BHE81_RS09270,gene_252,K99991,"ko02020,ko03410,ko00190",M2252,,Stress response protein,NO
BHE81_RS09470,gene_253,K99991,"ko02020,ko03410,ko00190",M2253,,Stress response protein,NO
BHE81_RS09485,gene_254,K99991,"ko02020,ko03410,ko00190",M2254,,Stress response protein,NO
BHE81_RS09560,gene_255,K99991,"ko02020,ko03410,ko00190",M2255,,Stress response protein,NO
BHE81_RS09565,gene_256,K99991,"ko02020,ko03410,ko00190",M2256,,Stress response protein,NO
BHE81_RS09570,gene_257,K99992,"ko02010,ko01200",M2257,,Metabolic protein,NO
BHE81_RS09645,gene_258,K99991,"ko02020,ko03410,ko00190",M2258,,Stress response protein,NO
BHE81_RS09730,gene_259,K99991,"ko02020,ko03410,ko00190",M2259,,Stress response protein,NO
BHE81_RS09735,gene_260,K99991,"ko02020,ko03410,ko00190",M2260,,Stress response protein,NO
BHE81_RS09790,gene_261,K99992,"ko02010,ko01200",M2261,,Metabolic protein,NO
BHE81_RS10105,gene_262,K99992,"ko02010,ko01200",M2262,,Metabolic protein,NO
BHE81_RS10210,gene_263,K99992,"ko02010,ko01200",M2263,,Metabolic protein,NO
BHE81_RS10245,gene_264,K99991,"ko02020,ko03410,ko00190",M2264,,Stress response protein,NO
BHE81_RS10425,gene_265,K99991,"ko02020,ko03410,ko00190",M2265,,Stress response protein,NO
BHE81_RS10685,gene_266,K99991,"ko02020,ko03410,ko00190",M2266,,Stress response protein,NO
BHE81_RS10835,gene_267,K99992,"ko02010,ko01200",M2267,,Metabolic protein,NO
BHE81_RS10850,gene_268,K99991,"ko02020,ko03410,ko00190",M2268,,Stress response protein,NO
BHE81_RS10905,gene_269,K99991,"ko02020,ko03410,ko00190",M2269,,Stress response protein,NO
BHE81_RS10985,gene_270,K99991,"ko02020,ko03410,ko00190",M2270,,Stress response protein,NO
BHE81_RS11030,gene_271,K99991,"ko02020,ko03410,ko00190",M2271,,Stress response protein,NO
BHE81_RS11050,gene_272,K99991,"ko02020,ko03410,ko00190",M2272,,Stress response protein,NO
BHE81_RS11130,gene_273,K99992,"ko02010,ko01200",M2273,,Metabolic protein,NO
BHE81_RS11135,gene_274,K99992,"ko02010,ko01200",M2274,,Metabolic protein,NO
BHE81_RS11215,gene_275,K99991,"ko02020,ko03410,ko00190",M2275,,Stress response protein,NO
BHE81_RS11250,gene_276,K99992,"ko02010,ko01200",M2276,,Metabolic protein,NO
BHE81_RS11325,gene_277,K99992,"ko02010,ko01200",M2277,,Metabolic protein,NO
BHE81_RS11330,gene_278,K99992,"ko02010,ko01200",M2278,,Metabolic protein,NO
BHE81_RS11335,gene_279,K99992,"ko02010,ko01200",M2279,,Metabolic protein,NO
BHE81_RS11340,gene_280,K99992,"ko02010,ko01200",M2280,,Metabolic protein,NO
BHE81_RS11345,gene_281,K99992,"ko02010,ko01200",M2281,,Metabolic protein,NO
BHE81_RS11350,gene_282,K99992,"ko02010,ko01200",M2282,,Metabolic protein,NO
BHE81_RS11390,gene_283,K99992,"ko02010,ko01200",M2283,,Metabolic protein,NO
BHE81_RS11395,gene_284,K99992,"ko02010,ko01200",M2284,,Metabolic protein,NO
BHE81_RS11400,gene_285,K99992,"ko02010,ko01200",M2285,,Metabolic protein,NO
BHE81_RS11405,gene_286,K99992,"ko02010,ko01200",M2286,,Metabolic protein,NO
